"place","pop_2010","pop_2011","pop_2012","district","distrct"
"смт Кириківка","2730","2749","2714","","Сумська область"
"Глухівський район","25847","25335","24890","","Сумська область"
"смт Червоне","1589","1569","1544","","Сумська область"
"смт Шалигине","2615","2572","2542","","Сумська область"
"Конотопський район","32344","31951","31525","","Сумська область"
"смт Дубов'язівка","2670","2640","2649","","Сумська область"
"Краснопільський район","30163","29923","29708","","Сумська область"
"смт Краснопілля","8403","8363","8325","","Сумська область"
"смт Угроїди","2210","2215","2187","","Сумська область"
"Кролевецький район","41147","40614","40201","","Сумська область"
"м. Кролевець","24019","23810","23667","","Сумська область"
"Лебединський район","22462","21947","21509","","Сумська область"
"Липоводолинський район","20746","20363","20009","","Сумська область"
"смт Липова Долина","5391","5350","5321","","Сумська область"
"Недригайлівський район","26640","26210","25915","","Сумська область"
"смт Недригайлів","5831","5795","5762","","Сумська область"
"смт Терни","3267","3219","3180","","Сумська область"
"Охтирський район","28074","27721","27504","","Сумська область"
"смт Чупахівка","2540","2478","2459","","Сумська область"
"Путивльський район","30058","29691","29323","","Сумська область"
"м. Путивль","16552","16468","16344","","Сумська область"
"Роменський район","37571","36698","35890","","Сумська область"
"Середино-Будський район","17765","17607","17430","","Сумська область"
"м. Середина-Буда","7298","7301","7300","","Сумська область"
"смт Зноб-Новгородське","2011","1996","1979","","Сумська область"
"Сумський район","63025","62954","62951","","Сумська область"
"смт Низи","2889","2881","2881","","Сумська область"
"смт Степанівка","5569","5562","5562","","Сумська область"
"смт Хотінь","2515","2486","2479","","Сумська область"
"Тростянецький район","37816","37479","37108","","Сумська область"
"м. Тростянець","21682","21580","21463","","Сумська область"
"Шосткинський район","21949","21724","21558","","Сумська область"
"смт Вороніж","7234","7181","7212","","Сумська область"
"Ямпільський район","26007","25726","25364","","Сумська область"
"м. Дружба","5141","5150","5104","","Сумська область"
"смт Ямпіль","4720","4695","4690","","Сумська область"
"смт Свеса","7139","7069","6961","","Сумська область"
"Тернопільська область","1088865","1084127","1080431","","Тернопільська область"
"м. Тернопіль","217577","217446","217300","","Тернопільська область"
"Бережанський район","42631","42298","42034","","Тернопільська область"
"м. Бережани","18118","18116","18119","","Тернопільська область"
"Борщівський район","70260","69667","69206","","Тернопільська область"
"м. Борщів","11274","11273","11219","","Тернопільська область"
"смт Мельниця-Подільська","3723","3712","3724","","Тернопільська область"
"смт Скала-Подільська","4234","4234","4255","","Тернопільська область"
"Бучацький район","63943","63885","64011","","Тернопільська область"
"м. Бучач","12480","12514","12547","","Тернопільська область"
"смт Золотий Потік","2482","2480","2473","","Тернопільська область"
"Гусятинський район","63205","62772","62458","","Тернопільська область"
"м. Копичинці","6878","6869","6867","","Тернопільська область"
"м. Хоростків","7096","7067","7056","","Тернопільська область"
"смт Гусятин","7043","7104","7122","","Тернопільська область"
"смт Гримайлів","1985","1973","1962","","Тернопільська область"
"Заліщицький район","49309","48912","48405","","Тернопільська область"
"м. Заліщики","9409","9426","9382","","Тернопільська область"
"смт Товсте","3394","3384","3348","","Тернопільська область"
"Збаразький район","58943","58814","58666","","Тернопільська область"
"м. Збараж","13866","13915","13949","","Тернопільська область"
"смт Вишнівець","3434","3424","3405","","Тернопільська область"
"Зборівський район","44270","43819","43484","","Тернопільська область"
"м. Зборів","7286","7163","7018","","Тернопільська область"
"смт Залізці","2699","2706","2703","","Тернопільська область"
"Козівський район","39818","39505","39269","","Тернопільська область"
"смт Козова","9420","9389","9385","","Тернопільська область"
"смт Козлів","1880","1856","1852","","Тернопільська область"
"Кременецький район","69662","69442","69312","","Тернопільська область"
"м. Кременець","21602","21624","21639","","Тернопільська область"
"м. Почаїв","7790","7757","7776","","Тернопільська область"
"Лановецький район","30760","30529","30281","","Тернопільська область"
"м. Ланівці","8675","8682","8743","","Тернопільська область"
"Монастириський район","30918","30522","30122","","Тернопільська область"
"м. Монастириська","6137","6134","6117","","Тернопільська область"
"смт Коропець","3534","3508","3476","","Тернопільська область"
"Підволочиський район","43878","43672","43465","","Тернопільська область"
"м. Скалат","4011","3989","4002","","Тернопільська область"
"смт Підволочиськ","7958","8002","8015","","Тернопільська область"
"Підгаєцький район","20225","19930","19678","","Тернопільська область"
"м. Підгайці","2947","2937","2908","","Тернопільська область"
"Теребовлянський район","68080","67770","67533","","Тернопільська область"
"м. Теребовля","13764","13769","13796","","Тернопільська область"
"смт Дружба","1786","1813","1836","","Тернопільська область"
"смт Микулинці","3707","3728","3738","","Тернопільська область"
"Тернопільський район","64159","64457","64902","","Тернопільська область"
"смт Велика Березовиця","7162","7249","7427","","Тернопільська область"
"смт Великі Бірки","3395","3429","3437","","Тернопільська область"
"Чортківський район","76808","76407","76159","","Тернопільська область"
"м. Чортків","29196","29249","29500","","Тернопільська область"
"смт Заводське","3381","3386","3417","","Тернопільська область"
"Шумський район","34419","34280","34146","","Тернопільська область"
"м. Шумськ","5373","5387","5404","","Тернопільська область"
"Харківська область","2769089","2755108","2742180","","Харківська область"
"м. Харків","1452256","1446500","1441362","","Харківська область"
"м. Ізюм","52821","52374","51934","","Харківська область"
"Куп'янськ (міськрада)","58728","58505","58227","","Харківська область"
"м. Куп'янськ","30014","29902","29686","","Харківська область"
"смт Ківшарівка","19611","19544","19498","","Харківська область"
"смт Куп'янськ-Вузловий","9103","9059","9043","","Харківська область"
"Лозова (міськрада)","68737","68339","67834","","Харківська область"
"м. Лозова","59470","59136","58636","","Харківська область"
"смт Панютине","7464","7410","7403","","Харківська область"
"Люботин (міськрада)","24610","24660","24664","","Харківська область"
"м. Люботин","21825","21866","21868","","Харківська область"
"Первомайський (міськрада)","31302","31224","31166","","Харківська область"
"м. Первомайський","30910","30842","30796","","Харківська область"
"Чугуїв (міськрада)","33379","33172","33172","","Харківська область"
"м. Чугуїв","32532","32331","32327","","Харківська область"
"Балаклійський район","84998","84571","84002","","Харківська область"
"м. Балаклія","29781","29676","29623","","Харківська область"
"смт Андріївка","9081","9045","8977","","Харківська область"
"смт Савинці","5216","5216","5177","","Харківська область"
"смт Червоний Донець","9237","9212","9074","","Харківська область"
"Барвінківський район","25270","24679","23991","","Харківська область"
"м. Барвінкове","10395","10205","9950","","Харківська область"
"Близнюківський район","21148","20774","20452","","Харківська область"
"смт Близнюки","4025","3957","3943","","Харківська область"
"Богодухівський район","40676","40411","40167","","Харківська область"
"м. Богодухів","15897","15867","15829","","Харківська область"
"смт Гути","1828","1821","1797","","Харківська область"
"смт Шарівка","1724","1710","1703","","Харківська область"
"Борівський район","18101","17846","17534","","Харківська область"
"смт Борова","5936","5864","5765","","Харківська область"
"Валківський район","32869","32567","32356","","Харківська область"
"м. Валки","9615","9528","9475","","Харківська область"
"смт Ков'яги","3234","3177","3161","","Харківська область"
"смт Старий Мерчик","1827","1788","1784","","Харківська область"
"Великобурлуцький район","23955","23725","23433","","Харківська область"
"смт Великий Бурлук","4154","4144","4079","","Харківська область"
"смт Приколотне","2159","2145","2128","","Харківська область"
"Вовчанський район","49125","48689","48369","","Харківська область"
"м. Вовчанськ","19192","19123","19114","","Харківська область"
"смт Білий Колодязь","4107","4050","4020","","Харківська область"
"смт Вільча","1765","1744","1746","","Харківська область"
"смт Старий Салтів","3668","3658","3657","","Харківська область"
"Дворічанський район","18868","18751","18593","","Харківська область"
"смт Дворічна","3908","3921","3872","","Харківська область"
"Дергачівський район","95019","94927","94873","","Харківська область"
"м. Дергачі","18341","18194","18162","","Харківська область"
"смт Вільшани","7011","7011","7007","","Харківська область"
"смт Козача Лопань","5392","5349","5363","","Харківська область"
"смт Мала Данилівка","7874","7962","7975","","Харківська область"
"смт Пересічна","7069","7084","7091","","Харківська область"
"смт Прудянка","1877","1865","1850","","Харківська область"
"смт Слатине","6546","6555","6517","","Харківська область"
"смт Солоницівка","13525","13590","13695","","Харківська область"
"Зачепилівський район","16299","16119","15941","","Харківська область"
"смт Зачепилівка","3824","3806","3789","","Харківська область"
"Зміївський район","73522","73036","72896","","Харківська область"
"м. Зміїв","15435","15305","15270","","Харківська область"
"смт Зідьки","3849","3848","3871","","Харківська область"
"смт Комсомольське","14955","14864","14815","","Харківська область"
"Золочівський район","28290","27764","27253","","Харківська область"
"смт Золочів","9437","9258","9086","","Харківська область"
"Ізюмський район","18908","18684","18365","","Харківська область"
"Кегичівський район","21867","21780","21648","","Харківська область"
"смт Кегичівка","6324","6307","6286","","Харківська область"
"смт Чапаєве","2792","2791","2779","","Харківська область"
"Коломацький район","7783","7699","7576","","Харківська область"
"смт Коломак","3303","3258","3163","","Харківська область"
"Красноградський район","46081","45816","45604","","Харківська область"
"м. Красноград","21532","21430","21352","","Харківська область"
"Краснокутський район","29609","29339","29156","","Харківська область"
"смт Краснокутськ","7748","7748","7736","","Харківська область"
"смт Костянтинівка","1489","1436","1410","","Харківська область"
"Куп'янський район","26309","26054","25816","","Харківська область"
"Лозівський район","30950","30749","30472","","Харківська область"
"смт Краснопавлівка","7393","7386","7362","","Харківська область"
"смт Орілька","3392","3371","3362","","Харківська область"
"Нововодолазький район","35339","34963","34547","","Харківська область"
"смт Нова Водолага","12129","12029","11868","","Харківська область"
"смт Бірки","543","535","535","","Харківська область"
"Первомайський район","17248","17017","16759","","Харківська область"
"Печенізький район","10686","10553","10470","","Харківська область"
"смт Печеніги","5595","5535","5475","","Харківська область"
"Сахновщинський район","22764","22542","22323","","Харківська область"
"смт Сахновщина","7741","7686","7663","","Харківська область"
"Харківський район","182986","183083","183184","","Харківська область"
"м. Мерефа","22365","22299","22273","","Харківська область"
"м. Південне","7978","7937","7880","","Харківська область"
"смт Бабаї","7020","6989","6958","","Харківська область"
"смт Безлюдівка","9614","9642","9662","","Харківська область"
"смт Березівка","1610","1601","1595","","Харківська область"
"смт Буди","6439","6381","6350","","Харківська область"
"смт Васищеве","5989","6016","6006","","Харківська область"
"смт Високий","10687","10611","10574","","Харківська область"
"смт Коротич","5106","5107","5131","","Харківська область"
"смт Кулиничі","3131","3125","3106","","Харківська область"
"смт Манченки","842","838","835","","Харківська область"
"смт Пісочин","21451","21864","22293","","Харківська область"
"смт Покотилівка","9873","9846","9838","","Харківська область"
"смт Рогань","3910","3830","3775","","Харківська область"
"смт Утківка","1252","1231","1241","","Харківська область"
"смт Хорошеве","4314","4337","4305","","Харківська область"
"Чугуївський район","47246","46980","46918","","Харківська область"
"смт Введенка","2465","2460","2445","","Харківська область"
"смт Есхар","5487","5508","5485","","Харківська область"
"смт Кочеток","3255","3208","3164","","Харківська область"
"смт Малинівка","7440","7424","7469","","Харківська область"
"смт Новопокровка","4799","4787","4812","","Харківська область"
"смт Чкаловське","4026","3971","4008","","Харківська область"
"Шевченківський район","21340","21216","21123","","Харківська область"
"смт Шевченкове","7154","7133","7132","","Харківська область"
"Херсонська область","1093431","1088237","1083367","","Херсонська область"
"Херсон (міськрада)","342606","340578","338685","","Херсонська область"
"м. Херсон","304613","302528","300666","","Херсонська область"
"смт Антонівка","12747","12790","12785","","Херсонська область"
"смт Зеленівка","5750","5785","5781","","Херсонська область"
"смт Комишани","7002","6941","6979","","Херсонська область"
"смт Наддніпрянське","1132","1132","1129","","Херсонська область"
"м. Каховка","37342","37409","37379","","Херсонська область"
"Нова Каховка (міськрада)","70146","69896","69541","","Херсонська область"
"м. Нова Каховка","48477","48298","48038","","Херсонська область"
"м. Таврійськ","11053","11051","11011","","Херсонська область"
"смт Дніпряни","4488","4431","4380","","Херсонська область"
"Бериславський район","50099","49697","49215","","Херсонська область"
"м. Берислав","13532","13457","13344","","Херсонська область"
"смт Козацьке","3818","3809","3776","","Херсонська область"
"Білозерський район","67509","67456","67211","","Херсонська область"
"смт Білозерка","9806","9804","9793","","Херсонська область"
"Великолепетиський район","17710","17569","17489","","Херсонська область"
"смт Велика Лепетиха","8652","8620","8597","","Херсонська область"
"Великоолександрівський район","27179","26885","26739","","Херсонська область"
"смт Велика Олександрівка","6989","6966","6969","","Херсонська область"
"смт Біла Криниця","1348","1330","1327","","Херсонська область"
"смт Калінінське","1311","1297","1261","","Херсонська область"
"смт Кар'єрне","382","384","375","","Херсонська область"
"Верхньорогачицький район","12762","12610","12549","","Херсонська область"
"смт Верхній Рогачик","6109","6011","5957","","Херсонська область"
"Високопільський район","15695","15568","15394","","Херсонська область"
"смт Високопілля","4382","4353","4308","","Херсонська область"
"смт Архангельське","1922","1916","1915","","Херсонська область"
"Генічеський район","61726","61571","61352","","Херсонська область"
"м. Генічеськ","20520","20487","20466","","Херсонська область"
"смт Новоолексіївка","10209","10224","10200","","Херсонська область"
"смт Партизани","3621","3604","3621","","Херсонська область"
"Голопристанський район","61881","61682","61605","","Херсонська область"
"м. Гола Пристань","15067","15001","14950","","Херсонська область"
"Горностаївський район","20252","20117","20092","","Херсонська область"
"смт Горностаївка","6778","6745","6732","","Херсонська область"
"Іванівський район","14931","14770","14650","","Херсонська область"
"смт Іванівка","4715","4708","4692","","Херсонська область"
"Каланчацький район","22353","22298","22218","","Херсонська область"
"смт Каланчак","9493","9518","9515","","Херсонська область"
"смт Мирне","1959","1966","1961","","Херсонська область"
"Каховський район","36614","36407","36367","","Херсонська область"
"смт Любимівка","5622","5631","5622","","Херсонська область"
"Нижньосірогозький район","16946","16793","16591","","Херсонська область"
"смт Нижні Сірогози","5194","5137","5087","","Херсонська область"
"Нововоронцовський район","22347","22153","22056","","Херсонська область"
"смт Нововоронцовка","6608","6549","6527","","Херсонська область"
"Новотроїцький район","37732","37453","37155","","Херсонська область"
"смт Новотроїцьке","10853","10824","10773","","Херсонська область"
"смт Сиваське","4630","4610","4571","","Херсонська область"
"Скадовський район","48602","48630","48656","","Херсонська область"
"м. Скадовськ","19123","19073","19069","","Херсонська область"
"смт Лазурне","3238","3214","3218","","Херсонська область"
"Цюрупинський район","72720","72570","72441","","Херсонська область"
"м. Цюрупинськ","25264","25217","25172","","Херсонська область"
"смт Брилівка","4428","4416","4404","","Херсонська область"
"смт Нова Маячка","7220","7181","7137","","Херсонська область"
"Чаплинський район","36279","36125","35982","","Херсонська область"
"смт Чаплинка","10006","10021","9942","","Херсонська область"
"смт Асканія-Нова","3084","3034","3005","","Херсонська область"
"Хмельницька область","1333957","1326926","1320171","","Хмельницька область"
"м. Хмельницький","261397","262788","263703","","Хмельницька область"
"м. Кам'янець-Подільський","102813","103063","102969","","Хмельницька область"
"м. Нетішин","36072","36257","36474","","Хмельницька область"
"м. Славута","35442","35442","35479","","Хмельницька область"
"м. Старокостянтинів","34754","34875","34994","","Хмельницька область"
"м. Шепетівка","43706","43573","43501","","Хмельницька область"
"Білогірський район","28359","28128","27858","","Хмельницька область"
"смт Білогір'я","5481","5483","5450","","Хмельницька область"
"смт Ямпіль","1995","2022","1993","","Хмельницька область"
"Віньковецький район","26602","26179","25866","","Хмельницька область"
"смт Віньківці","6502","6473","6441","","Хмельницька область"
"Волочиський район","54326","53786","53358","","Хмельницька область"
"м. Волочиськ","19754","19723","19701","","Хмельницька область"
"смт Війтівці","914","922","909","","Хмельницька область"
"смт Наркевичі","1575","1553","1559","","Хмельницька область"
"Городоцький район","51681","51043","50364","","Хмельницька область"
"м. Городок","16911","16885","16812","","Хмельницька область"
"смт Сатанів","2420","2413","2406","","Хмельницька область"
"Деражнянський район","33518","33258","33034","","Хмельницька область"
"м. Деражня","10160","10185","10260","","Хмельницька область"
"смт Вовковинці","2588","2556","2545","","Хмельницька область"
"смт Лозове","1576","1591","1584","","Хмельницька область"
"Дунаєвецький район","65914","65198","64559","","Хмельницька область"
"м. Дунаївці","16201","16219","16214","","Хмельницька область"
"смт Дунаївці","2600","2602","2560","","Хмельницька область"
"смт Смотрич","1932","1912","1922","","Хмельницька область"
"Ізяславський район","47296","46745","46344","","Хмельницька область"
"м. Ізяслав","17275","17203","17198","","Хмельницька область"
"Кам'янець-Подільський район","68979","68401","67954","","Хмельницька область"
"смт Стара Ушиця","2341","2338","2318","","Хмельницька область"
"Красилівський район","54934","54465","54043","","Хмельницька область"
"м. Красилів","19737","19761","19783","","Хмельницька область"
"смт Антоніни","2427","2401","2386","","Хмельницька область"
"Летичівський район","30164","29766","29381","","Хмельницька область"
"смт Летичів","10585","10577","10538","","Хмельницька область"
"смт Меджибіж","1523","1505","1475","","Хмельницька область"
"Новоушицький район","31401","30934","30477","","Хмельницька область"
"смт Нова Ушиця","4386","4404","4387","","Хмельницька область"
"Полонський район","46663","46367","46017","","Хмельницька область"
"м. Полонне","22064","21999","21885","","Хмельницька область"
"смт Понінка","7486","7464","7451","","Хмельницька область"
"Славутський район","31672","31301","30933","","Хмельницька область"
"Старокостянтинівський район","31720","31155","30667","","Хмельницька область"
"Старосинявський район","21964","21671","21425","","Хмельницька область"
"смт Стара Синява","5612","5581","5591","","Хмельницька область"
"Теофіпольський район","28476","28201","27974","","Хмельницька область"
"смт Теофіполь","6761","6763","6785","","Хмельницька область"
"смт Базалія","1823","1792","1767","","Хмельницька область"
"Хмельницький район","52940","52877","52934","","Хмельницька область"
"смт Чорний Острів","959","949","962","","Хмельницька область"
"Чемеровецький район","44254","43625","43056","","Хмельницька область"
"смт Чемерівці","5347","5399","5369","","Хмельницька область"
"смт Закупне","1350","1371","1371","","Хмельницька область"
"Шепетівський район","35698","35253","34878","","Хмельницька область"
"смт Гриців","3686","3658","3627","","Хмельницька область"
"Ярмолинецький район","33212","32575","31929","","Хмельницька область"
"смт Ярмолинці","8013","7954","7833","","Хмельницька область"
"Черкаська область","1295218","1285384","1277303","","Черкаська область"
"Черкаси (міськрада)","288450","287712","286912","","Черкаська область"
"м. Черкаси","287713","286987","286163","","Черкаська область"
"Ватутіне (міськрада)","18733","18523","18418","","Черкаська область"
"м. Ватутіне","18034","17826","17731","","Черкаська область"
"Золотоноша (міськрада)","29493","29476","29457","","Черкаська область"
"м. Золотоноша","28463","28462","28454","","Черкаська область"
"м. Канів","25846","25759","25702","","Черкаська область"
"Сміла (міськрада)","68736","68534","68680","","Черкаська область"
"м. Сміла","68721","68520","68667","","Черкаська область"
"м. Умань","87836","87437","87425","","Черкаська область"
"Городищенський район","43320","42818","42370","","Черкаська область"
"м. Городище","14585","14480","14407","","Черкаська область"
"смт Вільшана","3296","3256","3237","","Черкаська область"
"смт Цвіткове","1291","1286","1268","","Черкаська область"
"Драбівський район","37903","37417","37017","","Черкаська область"
"смт Драбів","6862","6838","6780","","Черкаська область"
"смт Шрамківка","2939","2891","2854","","Черкаська область"
"Жашківський район","39529","39084","38652","","Черкаська область"
"м. Жашків","14465","14363","14281","","Черкаська область"
"Звенигородський район","47779","47094","46544","","Черкаська область"
"м. Звенигородка","18482","18330","18127","","Черкаська область"
"Золотоніський район","43620","43265","42975","","Черкаська область"
"Кам'янський район","30300","29877","29368","","Черкаська область"
"м. Кам'янка","13261","13039","12864","","Черкаська область"
"Канівський район","20806","20577","20253","","Черкаська область"
"Катеринопільський район","25584","25286","24916","","Черкаська область"
"смт Катеринопіль","5869","5837","5805","","Черкаська область"
"смт Єрки","4077","4065","4032","","Черкаська область"
"Корсунь-Шевченківський район","45426","45068","44836","","Черкаська область"
"м. Корсунь-Шевченківський","18811","18763","18759","","Черкаська область"
"смт Стеблів","3659","3657","3655","","Черкаська область"
"Лисянський район","25060","24848","24631","","Черкаська область"
"смт Лисянка","8125","8160","8182","","Черкаська область"
"Маньківський район","29314","29035","28743","","Черкаська область"
"смт Маньківка","8113","8050","7924","","Черкаська область"
"смт Буки","1982","1943","1917","","Черкаська область"
"Монастирищенський район","37759","37489","37324","","Черкаська область"
"м. Монастирище","9230","9142","9134","","Черкаська область"
"смт Цибулів","3726","3721","3717","","Черкаська область"
"Смілянський район","34298","33886","33492","","Черкаська область"
"Тальнівський район","36955","36374","35898","","Черкаська область"
"м. Тальне","14526","14456","14343","","Черкаська область"
"Уманський район","44940","44521","44125","","Черкаська область"
"смт Бабанка","2342","2357","2335","","Черкаська область"
"Христинівський район","36022","35801","35670","","Черкаська область"
"м. Христинівка","10913","10876","10873","","Черкаська область"
"смт Верхнячка","4024","3924","3856","","Черкаська область"
"Черкаський район","76845","76618","76647","","Черкаська область"
"смт Ірдинь","892","875","873","","Черкаська область"
"Чигиринський район","29948","29370","28796","","Черкаська область"
"м. Чигирин","9964","9747","9568","","Черкаська область"
"Чорнобаївський район","43997","43329","42763","","Черкаська область"
"смт Чорнобай","7771","7611","7482","","Черкаська область"
"Шполянський район","46719","46186","45689","","Черкаська область"
"м. Шпола","18290","18156","17994","","Черкаська область"
"Чернівецька область","904371","904277","905264","","Чернівецька область"
"м. Чернівці","251776","253843","255929","","Чернівецька область"
"м. Новодністровськ","10621","10701","10758","","Чернівецька область"
"Вижницький район","56132","55790","55611","","Чернівецька область"
"м. Вижниця","4365","4285","4230","","Чернівецька область"
"м. Вашківці","5506","5455","5430","","Чернівецька область"
"смт Берегомет","7782","7741","7706","","Чернівецька область"
"Герцаївський район","32316","32367","32448","","Чернівецька область"
"м. Герца","2127","2130","2128","","Чернівецька область"
"Глибоцький район","72694","72890","73218","","Чернівецька область"
"смт Глибока","9298","9376","9443","","Чернівецька область"
"Заставнівський район","51897","51524","51247","","Чернівецька область"
"м. Заставна","8214","8159","8097","","Чернівецька область"
"смт Кострижівка","2742","2728","2723","","Чернівецька область"
"Кельменецький район","43515","43182","42760","","Чернівецька область"
"смт Кельменці","7581","7552","7515","","Чернівецька область"
"Кіцманський район","70466","70231","70143","","Чернівецька область"
"м. Кіцмань","7034","6995","6904","","Чернівецька область"
"смт Лужани","4720","4738","4761","","Чернівецька область"
"смт Неполоківці","2412","2438","2452","","Чернівецька область"
"Новоселицький район","81668","80942","80335","","Чернівецька область"
"м. Новоселиця","7973","7892","7841","","Чернівецька область"
"Путильський район","25600","25651","25792","","Чернівецька область"
"смт Путила","3290","3335","3343","","Чернівецька область"
"Сокирянський район","45004","44692","44569","","Чернівецька область"
"м. Сокиряни","9606","9538","9517","","Чернівецька область"
"Сторожинецький район","96855","97363","97949","","Чернівецька область"
"м. Сторожинець","14462","14508","14505","","Чернівецька область"
"смт Красноїльськ","9612","9738","9879","","Чернівецька область"
"Хотинський район","65827","65101","64505","","Чернівецька область"
"м. Хотин","10129","9973","9879","","Чернівецька область"
"Чернігівська область","1109747","1098209","1088509","","Чернігівська область"
"м. Чернігів","297402","296896","296723","","Чернігівська область"
"м. Ніжин","74365","74058","73597","","Чернігівська область"
"м. Прилуки","59180","58890","58852","","Чернігівська область"
"Бахмацький район","48633","47984","47392","","Чернігівська область"
"м. Бахмач","18853","18798","18780","","Чернігівська область"
"м. Батурин","2800","2758","2705","","Чернігівська область"
"смт Дмитрівка","2526","2471","2427","","Чернігівська область"
"Бобровицький район","35780","35308","34942","","Чернігівська область"
"м. Бобровиця","11204","11244","11280","","Чернігівська область"
"Борзнянський район","35794","35108","34507","","Чернігівська область"
"м. Борзна","10650","10640","10591","","Чернігівська область"
"Варвинський район","17639","17368","17122","","Чернігівська область"
"смт Варва","8582","8518","8419","","Чернігівська область"
"Городнянський район","31077","30630","30234","","Чернігівська область"
"м. Городня","12862","12766","12616","","Чернігівська область"
"Ічнянський район","34949","34423","33944","","Чернігівська область"
"м. Ічня","11843","11781","11706","","Чернігівська область"
"смт Дружба","964","979","997","","Чернігівська область"
"смт Парафіївка","2531","2557","2551","","Чернігівська область"
"Козелецький район","51407","50444","49571","","Чернігівська область"
"м. Остер","6445","6335","6289","","Чернігівська область"
"смт Козелець","8276","8251","8220","","Чернігівська область"
"смт Десна","7567","7562","7562","","Чернігівська область"
"Коропський район","26408","25867","25374","","Чернігівська область"
"смт Короп","5539","5505","5503","","Чернігівська область"
"смт Понорниця","2438","2385","2338","","Чернігівська область"
"Корюківський район","29100","28815","28458","","Чернігівська область"
"м. Корюківка","13416","13363","13268","","Чернігівська область"
"смт Холми","2899","2892","2841","","Чернігівська область"
"Куликівський район","19187","18829","18480","","Чернігівська область"
"смт Куликівка","5617","5567","5545","","Чернігівська область"
"Менський район","39871","39305","38742","","Чернігівська область"
"м. Мена","12513","12425","12346","","Чернігівська область"
"смт Березна","4959","4902","4856","","Чернігівська область"
"смт Макошине","2424","2404","2377","","Чернігівська область"
"Ніжинський район","30683","30098","29595","","Чернігівська область"
"смт Лосинівка","4235","4200","4158","","Чернігівська область"
"Новгород-Сіверський район","29889","29308","28837","","Чернігівська область"
"м. Новгород-Сіверський","14178","14020","13911","","Чернігівська область"
"Носівський район","31877","31451","31144","","Чернігівська область"
"м. Носівка","14278","14185","14120","","Чернігівська область"
"Прилуцький район","38794","38210","37683","","Чернігівська область"
"смт Ладан","6528","6466","6437","","Чернігівська область"
"смт Линовиця","2841","2825","2773","","Чернігівська область"
"смт Мала Дівиця","2176","2165","2157","","Чернігівська область"
"Ріпкинський район","30986","30389","29852","","Чернігівська область"
"смт Ріпки","7533","7458","7426","","Чернігівська область"
"смт Добрянка","2986","2953","2918","","Чернігівська область"
"смт Замглай","1891","1871","1848","","Чернігівська область"
"смт Любеч","2264","2228","2200","","Чернігівська область"
"смт Радуль","582","575","576","","Чернігівська область"
"Семенівський район","19366","19104","18974","","Чернігівська область"
"м. Семенівка","8471","8450","8507","","Чернігівська область"
"Сосницький район","20986","20644","20265","","Чернігівська область"
"смт Сосниця","7571","7534","7418","","Чернігівська область"
"Срібнянський район","12389","12187","12054","","Чернігівська область"
"смт Срібне","3277","3274","3291","","Чернігівська область"
"смт Дігтярі","1251","1242","1239","","Чернігівська область"
"Талалаївський район","14346","14125","13981","","Чернігівська область"
"смт Талалаївка","5096","5055","5077","","Чернігівська область"
"Чернігівський район","53897","53337","52978","","Чернігівська область"
"смт Гончарівське","3324","3312","3331","","Чернігівська область"
"смт Михайло-Коцюбинське","2957","2927","2951","","Чернігівська область"
"смт Олишівка","2117","2080","2029","","Чернігівська область"
