"deputat","tvo","winner","likelihood","proposed","fraction","age","gender.x","spread"
"Чернявський Степан Миколайович",138,0,0.322876506864171,"політична партія слуга народу",NA,46,"M",0
"Пресман Олександр Семенович",139,1,0.614275386202176,"самовисування","партія відродження",58,"M",0.283106724963628
"Васильковський Ігор Ігорович",139,0,0.331168661238548,"політична партія слуга народу",NA,34,"M",0
"Гуляєв Василь Олександрович",140,1,0.628140701418777,"самовисування","партія відродження",56,"M",0.325712938886555
"Колебошин Сергій Валерійович",140,0,0.302427762532222,"політична партія слуга народу",NA,42,"M",0
"Барвіненко Віталій Дмитрович",141,1,0.646399196960764,"самовисування","партія відродження",38,"M",0.389377315280391
"Ткаченко Олександр Михайлович",141,0,0.257021881680373,"політична партія слуга народу",NA,35,"M",0
"Кіссе Антон Іванович",142,1,0.409450300285919,"самовисування","партія відродження",61,"M",0.0358293429524646
"Плохой Руслан Ігорович",142,0,0.373620957333454,"політична партія слуга народу",NA,28,"M",0
"Куртєв Віктор Владиславович",143,1,0.78464027016813,"політична партія слуга народу",NA,40,"M",0.719459630967113
"Урбанський Анатолій Ігорович",143,0,0.0651806392010173,"самовисування",NA,44,"M",0
"Каплін Сергій Миколайович",144,1,0.476598328440235,"самовисування",NA,40,"M",0.0115603386409626
"Нальотов Дмитро Олександрович",144,0,0.465037989799273,"політична партія слуга народу",NA,34,"M",0
"Боблях Андрій Ростиславович",145,1,0.445078127871005,"політична партія слуга народу",NA,34,"M",0.0245207399930903
"Бублик Юрій Васильович",145,0,0.420557387877914,"самовисування",NA,46,"M",0
"Урін Фелікс Олександрович",146,1,0.505182920544447,"політична партія слуга народу",NA,35,"M",0.0380944334912726
"Шаповалов Юрій Анатолійович",146,0,0.467088487053174,"самовисування","партія відродження",47,"M",0
"Кулініч Олег Іванович",147,1,0.367823961800409,"самовисування","партія відродження",53,"M",0.00500134466982416
"Дудник Сергій Сергійович",147,0,0.362822617130585,"політична партія слуга народу",NA,29,"M",0
"Іщейкін Костянтин Євгенович",148,1,0.759329239670487,"самовисування","партії блок петра порошенка",44,"M",0.564273622206077
"Ляшенко Анастасія Олексіївна",148,0,0.19505561746441,"політична партія слуга народу",NA,33,"F",0
"Касай Костянтин Іванович",149,1,0.358284363602641,"політична партія слуга народу",NA,40,"M",0.0656005232003726
"Река Андрій Олександрович",149,0,0.292683840402268,"самовисування","політичної партії народний фронт",66,"M",0
"Мовчан Олексій Васильович",150,1,0.493255017890817,"політична партія слуга народу",NA,25,"M",0.0654540597436802
"Жеваго Костянтин Валентинович",150,0,0.427800958147137,"самовисування",NA,45,"M",0
"Кривенко Віктор Миколайович",151,1,0.449577610630513,"самовисування",NA,37,"M",0.132724969065504
"Богдан Руслан Дмитрович",151,0,0.31685264156501,"політична партія всеукраїнське обєднання батьківщина","політичної партії всеукраїнське обєднання батьківщина у верховній раді україни",47,"M",0
"Ковальчук Олександр Володимирович",152,1,0.542473897353171,"політична партія слуга народу",NA,45,"M",0.141458157109174
"Осуховський Олег Іванович",152,0,0.401015740243997,"політична партія всеукраїнське обєднання свобода",NA,41,"M",0
"Вознюк Юрій Володимирович",153,1,0.561358232980646,"самовисування","політичної партії народний фронт",39,"M",0.201502103761206
