"Прізвище, ім'я та по батькові кандидата в депутати","Основні відомості","Висування","Передвиборна програма","Дата реєстрації кандидатом","Дата та підстава скасування реєстрації кандидата","tvo"
"ВацкоТетяна Костянтинівна","народилася 13 липня 1970 року в селі Дергачі Дергачівського району Харківської області, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, фізична особа – підприємець, член Політичної партії ""Зелені"", проживає в місті Харкові, судимість відсутня, самовисування.","Самовисування","","25.09.2014","","176"
"ВітренкоВіталій Валентинович","народився 9 жовтня 1976 року в місті Новоград-Волинський Житомирської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, начальник дільниці, ТОВ ""УНІСТРОЙ"", член ПОЛІТИЧНОЇ ПАРТІЇ ""БЛОК ЛІВИХ СИЛ УКРАЇНИ"", проживає в місті Чугуїв Харківської області, судимість відсутня, суб’єкт висування – ПОЛІТИЧНА ПАРТІЯ ""БЛОК ЛІВИХ СИЛ УКРАЇНИ"".","ПОЛІТИЧНА ПАРТІЯ ""БЛОК ЛІВИХ СИЛ УКРАЇНИ""","","26.09.2014","","176"
"ГавришСтепан Богданович","народився 2 сiчня 1952 року в селі Олешів Тлумацького району Івано-Франківської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, дійсний член (академік), Національна академія правових наук України, безпартійний, проживає в місті Києві, судимість відсутня, самовисування.","Самовисування","","23.09.2014","","176"
"КлимецьПавло Анатолійович","народився 23 липня 1967 року в місті Донецьку, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, президент, ПАТ ""Олімп"", безпартійний, проживає в місті Києві, судимість відсутня, самовисування.","Самовисування","","28.09.2014","","176"
"КосовськийВіталій Миколайович","народився 17 серпня 1976 року в місті Світловодськ Кіровоградської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, завідуючий, судово-медична служба Чугуївського та Печенізького районів Харківської області, член Радикальної Партії Олега Ляшка, проживає в місті Харкові, судимість відсутня, суб’єкт висування – Радикальна Партія Олега Ляшка.","Радикальна Партія Олега Ляшка","","28.09.2014","","176"
"КосолаповАнатолій Григорович","народився 10 липня 1958 року в селі Шипувате Великобурлуцького району Харківської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, голова, Харківське обласне територіальне відділення Антимонопольного комітету України, доцент кафедри господарського права, Національний юридичний університет імені Ярослава Мудрого, безпартійний, проживає в місті Києві, судимість відсутня, самовисування.","Самовисування","","12.09.2014","","176"
"НімковДмитро Олександрович","народився 15 березня 1978 року в селі Шипувате Великобурлуцького району Харківської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, доцент кафедри організації будівельного виробництва, Харківський національний університет будівництва та архітектури, член Політичної партії ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка"", проживає в смт Великий Бурлук Харківської області, судимість відсутня, самовисування.","Самовисування","","24.09.2014","","176"
"ОдроушВікторія Миколаївна","народилася 8 березня 1968 року в смт Комсомольське Зміївського району Харківської області, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, тимчасово не працює, член політичної партії Всеукраїнське об’єднання ""Батьківщина"", проживає в місті Чугуїв Харківської області, судимість відсутня, суб’єкт висування – політична партія Всеукраїнське об’єднання ""Батьківщина"".","політична партія Всеукраїнське об’єднання ""Батьківщина""","","23.09.2014","","176"
"ТрестерЮлія Олександрівна","народилася 5 липня 1978 року в місті Донецьку, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, помічник-консультант народного депутата України, безпартійнa, проживає в селі Чайки Києво-Святошинського району Київської області, судимість відсутня, самовисування.","Самовисування","","29.09.2014","","176"
"ФедоровськийСтаніслав Геннадійович","народився 25 квiтня 1991 року в місті Харкові, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, фельдшер, комунальний заклад охорони здоров’я ""Центр екстреної медичної допомоги та медицини катастроф"", безпартійний, проживає в місті Харкові, судимість відсутня, самовисування.","Самовисування","","26.09.2014","","176"
"ЧеркашинЮрій Анатолійович","народився 31 серпня 1962 року в місті Чугуїв Харківської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, вчитель, Малинівська гімназія, член Комуністичної партії України, проживає в селі Малинівка Чугуївського району Харківської області, судимість відсутня, суб’єкт висування – Комуністична партія України.","Комуністична партія України","","26.09.2014","","176"
"ШвецьМикола Іванович","народився 25 травня 1984 року в селі Русава Ямпільського району Вінницької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта середня спеціальна, фізична особа – підприємець, безпартійний, проживає в місті Узин Білоцерківського району Київської області, судимість відсутня, самовисування.","Самовисування","","29.09.2014","","176"
"ШенцевДмитро Олексійович","народився 28 листопада 1964 року в місті Харкові, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, народний депутат України, заступник голови Комітету Верховної Ради України з питань законодавчого забезпечення правоохоронної діяльності, член ПАРТІЇ РЕГІОНІВ, проживає в місті Харкові, судимість відсутня, самовисування.","Самовисування","","22.09.2014","","176"
"ШмандійЛеонід Михайлович","народився 14 грудня 1972 року в місті Харкові, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, фізична особа – підприємець, безпартійний, проживає в місті Харкові, судимість відсутня, суб’єкт висування – ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА"".","ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА""","","27.09.2014","","176"
"БіловСергій Анатолійович","народився 3 серпня 1979 року в селі Борівська Андріївка Борівського району Харківської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта загальна середня, заступник генерального директора, ПАТ ""ХАРКІВКОЛЬОРМЕТ"", безпартійний, проживає в місті Харкові, судимість відсутня, самовисування.","Самовисування","","24.09.2014","10.10.2014звернення із заявою про відмову балотуватися","177"
"КрохмальВадим Юрійович","народився 18 серпня 1979 року в місті Куп'янськ Харківської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта загальна середня, директор, ТОВ ""Юридична фірма ""Північне сяйво"", ТОВ ""Хартех"", ТОВ ""Технокомплектація"", безпартійний, проживає в місті Куп’янськ Харківської області, судимість відсутня, самовисування.","Самовисування","","30.09.2014","","177"
"ЛущикОлег Дмитрійович","народився 26 серпня 1971 року в селі Курилівка Куп’янського району Харківської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, голова правління, ТОВ СП ""Украінская Восточная Рибная Компанія"", безпартійний, проживає в селі Вишеньки Бориспільського району Київської області, судимість відсутня, суб’єкт висування – ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА"".","ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА""","","27.09.2014","","177"
"МеркуловаОлена Анатоліївна","народилася 21 травня 1971 року в місті Ізюм Харківської області, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, секретар, Ізюмський районний комітет Комуністичної партії України, член Комуністичної партії України, проживає в місті Ізюм Харківської області, судимість відсутня, суб’єкт висування – Комуністична партія України.","Комуністична партія України","","26.09.2014","","177"
"МіськоТетяна Олександрівна","народилася 27 грудня 1991 року в місті Києві, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, тимчасово не працює, безпартійнa, проживає в місті Києві, судимість відсутня, самовисування.","Самовисування","","29.09.2014","","177"
"ОстапчукВіктор Миколайович","народився 16 травня 1955 року в місті Магнітогорськ Челябінської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, народний депутат України, голова підкомітету з питань залізничного транспорту Комітету Верховної Ради України з питань транспорту і зв’язку, член Партії ""ВІДРОДЖЕННЯ"", проживає в місті Харкові, судимість відсутня, самовисування.","Самовисування","","19.09.2014","","177"
"ПоколоднийВалерій Вікторович","народився 10 березня 1970 року в місті Харкові, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, доцент кафедри фінансів, Українська державна академія залізничного транспорту, голова Наглядової ради, ПрАТ ""СК ""ДЕЛЬФІН"", безпартійний, проживає в смт Мала Данилівка Дергачівського району Харківської області, судимість відсутня, самовисування.","Самовисування","","24.09.2014","","177"
"РовчакАндрій Яковлевич","народився 5 лютого 1953 року в селі Бугаївка Ізюмського району Харківської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, директор, ТОВ ""СК Восток"", безпартійний, проживає в селі Бугаївка Ізюмського району Харківської області, судимість відсутня, самовисування.","Самовисування","","25.09.2014","","177"
"СпівакМаргарита Костянтинівна","народилася 25 вересня 1973 року в місті Харкові, громадянка України, протягом останніх п’яти років проживає на території України, освіта середня спеціальна, директор, ТОВ ""Видавничий дім ""Весна"", член Радикальної Партії Олега Ляшка, проживає в місті Харкові, судимість відсутня, суб’єкт висування – Радикальна Партія Олега Ляшка.","Радикальна Партія Олега Ляшка","","28.09.2014","","177"
"СтупаренкоЮрій Георгійович","народився 15 червня 1963 року в місті Верхньодніпровськ Дніпропетровської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, тимчасово не працює, член Партії Сергія Тігіпка ""Сильна Україна"", проживає в місті Харкові, судимість відсутня, суб’єкт висування – Партія Сергія Тігіпка ""Сильна Україна"".","Партія Сергія Тігіпка ""Сильна Україна""","","22.09.2014","","177"
"ТомчукВалентина Іванівна","народилася 16 листопада 1963 року в селі Свидовець Бобровицького району Чернігівської області, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, пенсіонерка, безпартійнa, проживає в місті Києві, судимість відсутня, самовисування.","Самовисування","","29.09.2014","","177"
"АнтоноваОлена Ростиславівна","народилася 20 травня 1967 року в місті Олександрія Кіровоградської області, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, аспірант кафедри парламентаризму та політичного менеджменту, Національна академія державного управління при Президентові України, член Партії ""Солідарність жінок України"", проживає в місті Києві, судимість відсутня, суб’єкт висування – Партія ""Солідарність жінок України"".","Партія ""Солідарність жінок України""","","29.09.2014","","178"
"БакшеєвМикола Миколайович","народився 13 грудня 1977 року в місті Первомайський Харківської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, директор, СТОВ ""Ржавчик"", член політичної партії Всеукраїнське об’єднання ""Батьківщина"", проживає в селі Ржавчик Первомайського району Харківської області, судимість відсутня, суб’єкт висування – політична партія Всеукраїнське об’єднання ""Батьківщина"".","політична партія Всеукраїнське об’єднання ""Батьківщина""","","23.09.2014","14.10.2014звернення із заявою про відмову балотуватися","178"
"БиблівВладислав Володимирович","народився 25 червня 1978 року в місті Первомайський Харківської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, начальник, Первомайське міськрайонне управління юстиції Харківської області, член Радикальної Партії Олега Ляшка, проживає в місті Первомайський Харківської області, судимість відсутня, суб’єкт висування – Радикальна Партія Олега Ляшка.","Радикальна Партія Олега Ляшка","","28.09.2014","","178"
"БорисовськийЮрій Анатолійович","народився 8 листопада 1973 року в селі Радгоспне Близнюківського району Харківської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, Радгоспівський сільський голова, безпартійний, проживає в селі Радгоспне Близнюківського району Харківської області, судимість відсутня, самовисування.","Самовисування","","29.09.2014","","178"
"ГошовськийВолодимир Сергійович","народився 7 жовтня 1973 року в місті Стрий Львівської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, перший заступник Голови, Державна служба України з контролю за наркотиками, член Партії ""Соціалістична Україна"", проживає в місті Києві, судимість відсутня, самовисування.","Самовисування","","28.09.2014","10.10.2014звернення із заявою про відмову балотуватися","178"
"ДемаВалерій Іванович","народився 28 травня 1962 року в селі Сенча Лохвицького району Полтавської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, віце-президент, ТОВ ""СІГМАБЛЕЙЗЕР УКРАЇНА"", безпартійний, проживає в місті Харкові, судимість відсутня, суб’єкт висування – ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА"".","ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА""","","27.09.2014","","178"
"ДобкінДмитро Маркович","народився 8 сiчня 1975 року в місті Харкові, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, народний депутат України, безпартійний, проживає в місті Харкові, судимість відсутня, самовисування.","Самовисування","","23.09.2014","","178"
"КорольГеннадій Степанович","народився 22 жовтня 1969 року в селі Новопавлівка Близнюківського району Харківської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, Близнюківський селищний голова, проходить військову службу за призовом під час мобілізації, безпартійний, проживає в смт Близнюки Харківської області, судимість відсутня, самовисування.","Самовисування","","18.09.2014","","178"
"ЛобасСергій Вікторович","народився 21 травня 1960 року в селі Старий Мерчик Валківського району Харківської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, голова спостережної ради, ТОВ Агрофірма ""Киселі"", член Партії Сергія Тігіпка ""Сильна Україна"", проживає в місті Харкові, судимість відсутня, суб’єкт висування – Партія Сергія Тігіпка ""Сильна Україна"".","Партія Сергія Тігіпка ""Сильна Україна""","","22.09.2014","","178"
"МухінБорис Володимирович","народився 23 червня 1958 року в смт Близнюки Харківської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, заступник голови, Близнюківська районна рада, член Комуністичної партії України, проживає в смт Близнюки Харківської області, судимість відсутня, суб’єкт висування – Комуністична партія України.","Комуністична партія України","","26.09.2014","","178"
"РусецькийАнатолій Анатолійович","народився 12 сiчня 1976 року в селищі Андріївка Балаклійського району Харківської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, юрисконсульт, ТОВ ""Юридична компанія ""ФАС-ЮСТ"", безпартійний, проживає в селищі Андріївка Балаклійського району Харківської області, судимість відсутня, самовисування.","Самовисування","","17.09.2014","","178"
"ШахматенкоРоман Сергійович","народився 21 лютого 1987 року в селищі Орілька Лозівського району Харківської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, начальник юридичного відділу, ТОВ ""Кештрансфер24 Україна"", член Політичної партії ""НАРОДНИЙ ФРОНТ"", проживає в смт Гостомель Київської області, судимість відсутня, суб’єкт висування – Політична партія ""НАРОДНИЙ ФРОНТ"".","Політична партія ""НАРОДНИЙ ФРОНТ""","","23.09.2014","14.10.2014звернення партії про скасування реєстрації","178"
"БобровниковаНаталія Пилипівна","народилася 16 травня 1959 року в місті Харкові, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, фізична особа – підприємець, член Політичної партії ""Ми Українці"", проживає в місті Харкові, судимість відсутня, суб’єкт висування – Політична партія ""Ми Українці"".","Політична партія ""Ми Українці""","","26.09.2014","","179"
"ВорожцовОлександр Миколайович","народився 15 вересня 1974 року в селі Нова-Чернещина Сахновщинського району Харківської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта середня спеціальна, проходить військову службу за призовом під час мобілізації, заступник командира, 24 батальйон територіальної оборони ""Айдар"", безпартійний, проживає в місті Харкові, судимість відсутня, самовисування.","Самовисування","","27.09.2014","","179"
"ГіршфельдАнатолій Мусійович","народився 7 серпня 1957 року в місті Дніпропетровську, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, народний депутат України, заступник голови Комітету Верховної Ради України з питань інформатизації та інформаційних технологій, безпартійний, проживає в місті Харкові, судимість відсутня, самовисування.","Самовисування","","22.09.2014","","179"
"ГрицакВасиль Миколайович","народився 17 лютого 1961 року в селі Гориньград-2 Рівненського району Рівненської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, голова, міжнародна громадська організація ""Спілка генералів органів внутрішніх справ України"", безпартійний, проживає в місті Красноград Харківської області, судимість відсутня, самовисування.","Самовисування","","19.09.2014","","179"
"ДіякІван Васильович","народився 22 липня 1929 року в селі Цеперів Кам'янсько-Бузького району Львівської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, голова наглядової ради, ПАТ ""УКРГАЗПРОМБАНК"", безпартійний, проживає в місті Києві, судимість відсутня, самовисування.","Самовисування","","28.09.2014","","179"
"КаулькоІгор Євгенович","народився 22 березня 1974 року в місті Харкові, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, тимчасово не працює, член ПАРТІЇ РЕГІОНІВ, проживає в місті Харкові, судимість відсутня, самовисування.","Самовисування","","27.09.2014","","179"
"КвартенкоРоман Олексійович","народився 16 лютого 1971 року в місті Макіївка Донецької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, інспектор, Державна екологічна інспекція у Харківській області, доцент кафедри моніторингу довкілля та природокористування екологічного факультету,  Харківський національний університет імені В.Н. Каразіна, безпартійний, проживає в селі Руська Лозова Дергачівського району Харківської області, судимість відсутня, самовисування.","Самовисування","","19.09.2014","","179"
"КудревичМикола Олександрович","народився 9 жовтня 1993 року в місті Красноград Харківської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, тимчасово не працює, член Радикальної Партії Олега Ляшка, проживає в місті Харкові, судимість відсутня, суб’єкт висування – Радикальна Партія Олега Ляшка.","Радикальна Партія Олега Ляшка","","28.09.2014","","179"
"МомотМикола Федорович","народився 12 березня 1949 року в селі Циркуни Харківського району Харківської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, голова ради, місцевий осередок ВГО ""Асоціація ветеранів ДПС України"" Харківської області, член політичної партії Всеукраїнське об’єднання ""Батьківщина"", проживає в місті Харкові, судимість відсутня, суб’єкт висування – політична партія Всеукраїнське об’єднання ""Батьківщина"".","політична партія Всеукраїнське об’єднання ""Батьківщина""","","23.09.2014","","179"
"ПолковниченкоОлександр Миколайович","народився 23 березня 1951 року в селі Павлівка-2 Петрівського району Харківської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, віце-президент, Міжнародна академія наук та інноваційних технологій, безпартійний, проживає в місті Харкові, судимість відсутня, суб’єкт висування – Партія Сергія Тігіпка ""Сильна Україна"".","Партія Сергія Тігіпка ""Сильна Україна""","","22.09.2014","","179"
"СліченкоСергій Іванович","народився 6 серпня 1964 року в селі Чапаєве Кегичівського району Харківської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, голова, фермерське господарство ""Нива"", член ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА"", проживає в смт Кегичівка Харківської області, судимість відсутня, суб’єкт висування – ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА"".","ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА""","","27.09.2014","","179"
"ТітовМикола Ілліч","народився 1 сiчня 1949 року в с. Шилове Калманського району Алтайського краю, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, перший віце-президент – виконавчий директор, Асоціація органів місцевого самоврядування Харківської області, безпартійний, проживає в місті Харкові, судимість відсутня, самовисування.","Самовисування","","23.09.2014","","179"
"ШахматенкоСергій Іванович","народився 19 жовтня 1955 року в селі Чернявщина Перещепинського району  Дніпропетровської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, директор, ТОВ ""Серп-С"", член Політичної партії ""НАРОДНИЙ ФРОНТ"", проживає в смт Панютене міста Лозова Харківської області, судимість відсутня, суб’єкт висування – Політична партія ""НАРОДНИЙ ФРОНТ"".","Політична партія ""НАРОДНИЙ ФРОНТ""","","23.09.2014","","179"
"ШвидкийСергій Вікторович","народився 28 грудня 1968 року в смт Сахновщина Харківської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, пенсіонер, безпартійний, проживає в смт Сахновщина Харківської області, судимість відсутня, самовисування.","Самовисування","","22.09.2014","13.10.2014звернення із заявою про відмову балотуватися","179"
"БіловолОлександр Миколайович","народився 11 сiчня 1962 року в селі Мурафа Краснокутського району Харківської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, народний депутат України, заступник голови Комітету Верховної Ради України з питань охорони здоров’я, безпартійний, проживає в місті Харкові, судимість відсутня, самовисування.","Самовисування","","26.09.2014","","180"
"ВойтенкоВіктор Іванович","народився 5 серпня 1970 року в селі Шарівка Валківського району Харківської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, директор, ХФ ТОВ ""Ельбор"", безпартійний, проживає в селі Шарівка Валківського району Харківської області, судимість відсутня, самовисування.","Самовисування","","12.09.2014","","180"
"ГолубОлександр Юрійович","народився 23 жовтня 1978 року в місті Макарів Київської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, заступник начальника управління космічної виробничої інфраструктури та кооперації, Державне космічне агентство України, голова наглядової ради, ПАТ  ""Київський радіозавод"", безпартійний, проживає в місті Києві, судимість відсутня, самовисування.","Самовисування","","27.09.2014","","180"
"ДавидоваЛюдмила Іванівна","народилася 19 жовтня 1957 року в селі Хотомля Вовчанського району Харківської області, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, заступник голови, Харківська обласна рада, безпартійнa, проживає в місті Харкові, судимість відсутня, суб’єкт висування – Партія Сергія Тігіпка ""Сильна Україна"".","Партія Сергія Тігіпка ""Сильна Україна""","","22.09.2014","","180"
"ДергоусовСергій Миколайович","народився 22 сiчня 1974 року в місті Харкові, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, директор, філія ПАТ ""Державна продовольчо-зернова корпорація України"" ""Сахновщинський елеватор"", член Політичної партії ""НАРОДНИЙ ФРОНТ"", проживає в селі Красне Кегичівського району Харківської області, судимість відсутня, суб’єкт висування – Політична партія ""НАРОДНИЙ ФРОНТ"".","Політична партія ""НАРОДНИЙ ФРОНТ""","","23.09.2014","","180"
"ІванюковичІгор Семенович","народився 4 листопада 1969 року в місті Харкові, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, голова, селянське фермерське господарство ""Михайлівка"", безпартійний, проживає в селі Михайлівка Краснокутського району Харківської області, судимість відсутня, самовисування.","Самовисування","","25.09.2014","","180"
"КамінерВадим Миколайович","народився 30 жовтня 1971 року в місті Харкові, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, керівник, ПП фірма ""Альтаир"", безпартійний, проживає в місті Харкові, судимість відсутня, самовисування.","Самовисування","","28.09.2014","","180"
