"tvo","1. Кількість виборців","2. Взяли участь","3. Недійсних бюлетенів","Богословська","Бродський","Гриценко","Костенко","Литвин","Мороз","Пабат","Противсіх","Ратушняк","Рябоконь","Симоненко","Супрун","Тимошенко","Тігіпко","Тягнибок","Ющенко","Янукович","Яценюк","4. Не підтр. жодного"
"25",171049,116011,2787,417,44,2001,93,1327,116,97,113,89,38,4051,64,12695,37478,784,1232,42732,7276,2577
"26",132542,88964,1458,313,34,1875,82,1207,113,83,106,93,28,2686,61,11056,32331,770,1401,27397,5642,2228
"27",117647,79499,1076,243,24,1446,65,884,97,67,64,75,18,2589,41,8742,27964,600,1049,27776,5010,1669
"28",153234,100685,2274,332,33,2179,88,1169,135,93,79,78,33,2900,74,13618,33418,747,1428,33449,6353,2205
"29",140601,90908,1763,287,30,1613,68,1002,103,90,97,71,22,2476,45,11078,28887,676,990,33580,5904,2126
"30",201516,126656,2982,622,40,2159,113,1755,198,102,170,72,48,5846,91,25021,19538,753,1311,51153,10717,3965
"31",181677,126428,2393,711,66,729,108,1673,134,176,167,51,32,7311,112,22538,21406,821,1394,53451,9238,3917
"32",190913,132934,2369,760,68,825,100,1852,138,161,162,87,44,7839,75,20112,24918,821,1554,57308,9952,3789
"33",174990,120683,2113,658,63,871,77,1608,136,131,167,94,30,7843,70,17868,22414,769,1365,52490,8482,3434
"34",138965,91535,1424,392,45,822,81,1381,178,97,130,54,21,4967,53,16505,14945,443,1107,40940,5640,2310
"35",185431,115779,2464,448,52,806,145,1723,148,60,138,69,37,6461,97,22235,23145,961,1591,45833,6648,2718
"36",198808,138134,1917,1014,77,1164,76,1872,181,137,187,78,38,7457,134,23409,25001,629,1387,62049,7997,3330
"37",163442,106981,2142,533,60,558,140,2051,226,115,200,57,35,6804,87,15930,11457,544,1450,55186,7057,2349
"38",187142,123594,2011,427,51,1300,118,2425,203,109,201,108,53,5425,145,13550,25448,800,1900,59374,7705,2240
"39",133227,89984,1494,491,53,601,91,1591,170,78,142,64,34,4544,79,13341,13715,392,1221,45733,4408,1742
"40",150545,98380,1736,334,39,999,93,1600,177,84,147,66,27,3461,65,13873,20734,505,1285,44980,6258,1917
"41",156296,109388,1043,750,31,307,14,475,98,43,52,36,12,3965,28,4144,8597,203,654,84722,2699,1515
"42",140240,100844,1308,1045,34,625,40,675,163,55,70,41,20,4232,49,6194,11643,311,937,68182,3095,2125
"43",160153,111883,1072,1004,27,474,31,632,112,43,68,35,20,4309,34,5070,9716,259,754,83236,3095,1891
"44",182193,125538,1833,1068,27,455,49,585,119,53,58,37,15,4299,52,5500,9257,243,730,95749,3340,2069
"45",178486,130695,1061,946,38,494,41,814,148,69,85,45,24,5203,31,6085,11825,288,944,96101,4016,2437
"46",163910,119658,1410,728,66,375,84,618,163,55,116,56,18,4360,59,4687,6171,214,997,94432,3485,1564
"47",151892,101538,1440,1102,47,437,35,635,107,78,69,45,16,3855,51,4325,6511,229,903,77129,3097,1427
"48",164293,112059,1051,866,30,593,59,570,151,87,98,48,18,4077,34,6506,11127,275,964,79417,3944,2144
"49",162423,110140,1039,580,45,414,97,669,154,45,68,39,15,5022,49,5612,7581,177,768,83150,2938,1678
"50",173259,118292,862,974,45,310,104,983,142,32,85,46,20,7722,58,5537,9045,252,853,86499,3099,1624
"51",155085,103359,771,924,42,343,30,736,90,39,48,34,13,3780,53,4097,7131,162,649,79799,3081,1537
"52",169120,112704,933,839,56,189,33,520,73,40,58,34,28,3578,49,3824,5980,157,590,91754,2425,1544
"53",142503,99606,1090,483,27,146,58,610,64,39,52,19,14,3600,31,3646,4930,133,492,80822,1851,1499
"54",139043,94722,613,288,40,162,19,437,127,23,40,22,13,4443,40,2922,5385,109,527,76576,1947,990
"55",141219,98681,867,427,20,191,19,464,64,35,42,36,13,4161,32,3262,7738,185,494,77039,2227,1355
"56",137824,94664,701,439,15,120,17,279,44,27,52,17,11,2695,32,2437,4651,110,418,79685,1836,1078
