deputat,tvo,winner,likelihood,proposed,fraction,age,gender,spread
Розенблат Борислав Соломонович,62,0,0.390657793729739,ex-БПП,left фракция БПП,50,M,0
Гундич Ігор Петрович,62,0,0.0298800463783746,unaffiliated,NA,44,M,-0.360777747351364
Ревега Олександр Васильович,63,1,0.515052556000974,БПП,БПП,53,M,0.495542982684505
Кицак Богдан Вікторович,63,0,0.426418724049621,слуга народу,NA,27,M,0.406909150733152
Лужанський Станіслав Іванович,63,0,0.0195095733164686,unaffiliated,NA,39,M,0
Марценюк Сергій Михайлович,63,0,0.0195095733164686,unaffiliated,NA,40,M,0
Романський Ігор Васильович,63,0,0.0195095733164686,unaffiliated,NA,41,M,0
Арешонков Володимир Юрійович,64,1,0.440974990619271,БПП,БПП,62,M,0.111717494378576
Пашинський Сергій Володимирович,64,0,0.329257496240695,народний фронт,політичної партії народний фронт,53,M,0
Сігачов Вячеслав Валерійович,64,0,0.192825933466797,слуга народу,NA,47,M,-0.136431562773898
Костюк Дмитро Сергійович,65,1,0.476553201698272,слуга народу,NA,26,M,0.0599391611261398
Литвин Володимир Михайлович,65,0,0.416614040572132,воля народу,"Член депутатської групи ""Воля народу""",63,M,0
Романюк Сергій Вікторович,65,0,0.0627116746508475,радикальна партія,NA,32,M,-0.353902365921285
Дзюблик Павло Володимирович,66,1,0.598096277014985,народний фронт,політичної партії народний фронт,40,M,0.33668919081132
Грищенко Тетяна Миколаївна,66,0,0.261407086203665,слуга народу,NA,40,F,0
Журавський Віталій Станіславович,66,0,0.059576983901591,unaffiliated,NA,64,M,-0.201830102302074
Кузьміних Сергій Володимирович,67,1,0.515974624405367,слуга народу,NA,36,M,0.0803133473068767
Развадовський Віктор Йосипович,67,0,0.43566127709849,відродження,відродження,60,M,0
Ходак Ігор Євгенович,67,0,0.0321153239132901,батьківщина,NA,49,M,-0.4035459531852
Горват Роберт Іванович,68,1,0.360907574668179,БПП,БПП,50,M,0.04107611181761
Пекарь Олександр Вікторович,68,0,0.319831462850569,слуга народу,NA,27,M,0
Чижмарь Юрій Васильович,68,0,0.279106120055766,радикальна партія,радикальної партії олега ляшка,45,M,-0.0407253427948028
Токар Едгар Володимирович,69,1,0.537973096280193,слуга народу,NA,32,M,0.134409808543125
Балога Віктор Іванович,69,0,0.403563287737068,єдиний центр,NA,56,M,0
Данканич Андрій Андрійович,69,0,0.0312965328845011,батьківщина,NA,50,M,-0.372266754852567
Лаба Михайло Михайлович,70,1,0.425858659628498,слуга народу,NA,44,M,0.0358715705150155
Балога Іван Іванович,70,0,0.389987089113482,єдиний центр,NA,53,M,0
Кеменяш Олександр Михайлович,70,0,0.106144314222832,батьківщина,NA,54,M,-0.28384277489065
Грабар Сергій Володимирович,71,1,0.504484109640057,слуга народу,NA,34,M,0.0712617417140627
Лунченко Валерій Валерійович,71,0,0.433222367925995,народний фронт,політичної партії народний фронт,37,M,0
Пацкан Олександр Михайлович,71,0,0.0370931524567982,unaffiliated,NA,39,M,-0.396129215469196
Петьовка Василь Васильович,72,1,0.501739936196275,воля народу,воля народу,52,M,0.0488230684685247
Носа Вадим Іванович,72,0,0.452916867727751,слуга народу,NA,32,M,0
Данилюк Олександр Мирославович,72,0,0.0124101048515829,голос,NA,31,M,-0.440506762876168
Брензович Василь Іванович,73,1,0.407786084740391,БПП,БПП,55,M,0.123573693113435
Балога Павло Іванович,73,0,0.284212391626956,єдиний центр,NA,42,M,0
Маргітич Іван Володимирович,73,0,0.274655573416598,слуга народу,NA,32,M,-0.0095568182103582
Сабашук Петро Павлович,74,1,0.608627405992472,БПП,БПП,62,M,0.259081021276628
Касай Геннадій Олександрович,74,0,0.349546384715844,слуга народу,NA,47,M,0
Волков Ігор Юрійович,74,0,0.0267335367145948,сила і честь,NA,38,M,-0.322812848001249
Соха Роман Васильович,75,1,0.898212551092593,слуга народу,NA,44,M,0.871856202466733
Бєлий Микола Іванович,75,0,0.0263563486258601,європейська солідарність,NA,38,M,0
Каліцев Олексій Васильович,75,0,0.0171349154938258,unaffiliated,NA,40,M,-0.00922143313203431
Шевченко Євгеній Володимирович,76,1,0.937405347161214,слуга народу,NA,47,M,0.917591979247089
Солдатов Анатолій Борисович,76,0,0.0198133679141249,unaffiliated,NA,39,M,0
Прозапас Валерій Миколайович,76,0,0.0161331716751842,європейська солідарність,NA,42,M,-0.0036801962389407
Штепа Сергій Сергійович,77,1,0.502183145024591,слуга народу,NA,29,M,0.01564057561484
Богуслаєв Вячеслав Олександрович,77,0,0.486542569409751,воля народу,воля народу,81,M,0
Петров Максим Володимирович,77,0,0.00465032696967067,unaffiliated,NA,35,M,-0.48189224244008
Боговін Віталій Вікторович,78,1,0.531722788075568,слуга народу,NA,50,M,0.151586565936823
Пономарьов Олександр Сергійович,78,0,0.380136222138745,опозиційна платформа за життя,воля народу,57,M,0
Шувалов Андрій Миколайович,78,0,0.0346540110923807,unaffiliated,NA,57,M,-0.345482211046364
Яцик Юлія Григорівна,79,1,0.486973843496043,слуга народу,NA,40,F,0.0147734328806647
Бандуров Володимир Володимирович,79,0,0.472200410615378,опозиційна платформа за життя,воля народу,46,M,0
Могилевцев Олександр Юрійович,79,0,0.0196254610965083,аграрна партія україни,NA,39,M,-0.45257494951887
Гладкий Дмитро Вікторович,80,1,0.493390328020301,слуга народу,NA,32,M,0.039622610357398
Балицький Євген Віталійович,80,0,0.453767717662903,опозиційний блок,політичної партії опозиційний блок у верховній раді україни восьмого скликання,50,M,0
Маслов Михайло Борисович,80,0,0.0302584234527043,опозиційна платформа за життя,NA,48,M,-0.423509294210199
Валентиров Сергій Васильович,81,1,0.501616749657254,опозиційна платформа за життя,БПП,41,M,0.0323403257716816
Мельник Павло Вікторович,81,0,0.469276423885572,слуга народу,NA,35,M,0
Рєпкін Олександр Олександрович,81,0,0.0135755280438136,опозиційний блок,NA,39,M,-0.455700895841758
Кривохатько Вадим Вікторович,82,1,0.544470495872853,опозиційний блок,"Член депутатської фракції Політичної партії ""Опозиційний блок""",57,M,0.145530750313034
Нікітіна Марина Вікторівна,82,0,0.398939745559819,слуга народу,NA,33,F,0
Васюк Анатолій Григорович,82,0,0.0332602793852044,unaffiliated,NA,41,M,-0.365679466174615
Шевченко Олександр Леонідович,83,1,0.716387490221336,опозиційний блок,"Член депутатської фракції Політичної партії ""Опозиційний блок""",48,M,0.520069811354985
Сторожук Андрій Леонідович,83,0,0.196317678866351,слуга народу,NA,27,M,0
Петечел Олексій Юрійович,83,0,0.0618311084514541,європейська солідарність,NA,37,M,-0.134486570414897
Довбенко Михайло Володимирович,84,1,0.457264889249247,європейська солідарність,БПП,65,M,0.101469261315315
Фріс Ігор Павлович,84,0,0.355795627933931,слуга народу,NA,46,M,0
Іваськів Андрій Степанович,84,0,0.08736348656553,батьківщина,NA,48,M,-0.268432141368402
Шевченко Віктор Леонідович,85,1,0.427605322346229,опозиційний блок,"Член депутатської фракції Політичної партії ""Опозиційний блок""",39,M,0.107412654379118
Насалик Ігор Степанович,85,0,0.32019266796711,опозиційний блок,"Член депутатської фракції Політичної партії ""Опозиційний блок""",57,M,0
Прощук Едуард Петрович,85,0,0.21356286998114,слуга народу,NA,37,M,-0.106629797985971
Дирів Анатолій Борисович,86,1,0.612945844024694,народний фронт,політичної партії народний фронт,49,M,0.400715074832603
Матусевич Олександр Борисович,86,0,0.212230769192091,слуга народу,NA,45,M,0
Дзеса Остап Васильович,86,0,0.110043263303548,європейська солідарність,NA,66,M,-0.102187505888543
Андрійович Зіновій Мирославович,87,1,0.623291020831734,слуга народу,NA,47,M,0.466312346255665
Голіней Юрій Дмитрович,87,0,0.156978674576069,європейська солідарність,NA,42,M,0
