"okrug","9.К-сть виборців, які взяли участь у голосуванні","БалашовГеннадій","БезсмертнийРоман","БогомолецьОльга","БогословськаІнна","БойкоЮрій","БондарВіктор","ВащенкоОлександр","ВілкулОлександр","ГаберМикола","ГриценкоАнатолій","ДанилюкОлександр","Дерев’янкоЮрій","ЖуравльовВасиль","ЗеленськийВолодимир","КаплінСергій","КармазінЮрій","КиваІлля","КорнацькийАркадій","КошулинськийРуслан","КривенкоВіктор","КупрійВіталій","ЛитвиненкоЮлія","ЛяшкоОлег","МорозОлександр","НаливайченкоВалентин","НасіровРоман","НовакАндрій","НосенкоСергій","ПетровВолодимир","ПорошенкоПетро","РиговановРуслан","СкоцикВіталій","СмешкоІгор","СоловйовОлександр","ТарутаСергій","ТимошенкоЮлія","ТимошенкоЮрій","ШевченкоІгор","ШевченкоОлександр"
188,100004,196,115,214,77,4013,171,31,976,36,10027,27,73,40,26700,37,60,26,25,3974,26,19,135,7799,46,255,13,27,14,79,15306,23,67,9026,30,68,17656,892,101,438
189,94336,96,145,198,80,4280,151,19,886,60,7575,24,184,30,20795,67,134,38,15,1704,28,20,174,11634,77,240,7,44,7,94,16698,32,84,5333,31,84,20079,1189,132,718
190,89666,141,97,208,68,5166,153,27,1099,53,6661,33,56,35,23070,61,107,39,22,1731,25,29,152,9550,79,226,15,39,12,96,15991,38,92,7145,26,67,14216,841,145,731
191,86015,97,133,107,39,4287,4441,29,713,46,7786,23,37,31,18607,58,85,18,30,2154,29,16,157,10318,59,160,6,29,9,118,14562,42,58,5122,15,54,14204,790,72,451
192,92688,96,184,153,73,4999,112,32,904,57,6301,22,59,40,20923,73,130,21,25,1973,34,26,147,14687,100,206,11,50,8,111,14873,44,80,4606,30,102,18207,1152,116,618
193,92156,130,93,155,86,5282,125,25,1081,52,7336,21,40,35,24574,47,104,31,11,2552,34,47,110,7420,60,216,10,35,14,79,15418,53,77,7831,25,70,16231,813,106,643
194,88996,271,162,193,75,6163,50,19,1826,23,9443,22,66,31,28819,53,58,28,21,1109,25,22,68,2578,72,265,11,47,28,44,13207,12,72,11725,20,91,10421,331,42,347
195,89439,163,134,183,71,5329,40,23,1526,29,8916,24,118,31,26448,59,146,31,23,949,33,28,102,7877,86,273,11,19,29,45,10471,24,96,8482,13,298,15138,639,74,400
196,88099,92,74,124,45,4187,34,20,1111,23,8600,31,77,36,24937,71,228,17,12,1030,10,12,109,10424,85,228,10,29,12,56,9702,21,72,6813,18,164,17314,821,70,497
197,85099,129,97,167,53,4672,59,22,1236,27,8660,26,42,30,26662,51,79,20,17,1436,23,25,80,6066,76,260,14,24,20,50,10073,23,81,8024,26,116,14661,550,70,355
198,84541,142,80,155,67,4741,35,21,1280,31,7642,14,43,32,28438,64,158,24,13,1018,29,15,84,6994,132,280,22,25,15,42,9343,15,156,8958,15,136,12348,445,59,483
199,84526,118,115,145,54,3561,42,19,908,30,8503,27,35,38,23234,47,217,24,17,1001,34,16,99,7943,60,300,10,14,7,43,9759,28,117,6618,27,215,19025,624,65,507
200,94627,180,92,162,70,5228,74,18,1395,28,6143,36,47,40,26446,74,140,38,58,1175,24,38,113,7920,66,215,15,18,8,77,12536,22,115,15544,36,180,13915,708,83,420
201,103070,238,206,286,101,7891,53,16,1857,20,7899,21,106,39,33648,53,59,61,17,1728,41,17,75,2444,76,336,26,47,20,80,19252,19,69,9287,22,75,14008,603,99,711
202,97815,107,107,137,78,6365,71,32,840,21,4562,19,105,59,27583,49,98,29,16,1567,31,25,273,8078,67,316,15,31,12,115,13838,40,50,3475,22,84,25077,1354,229,1353
203,91339,132,102,123,118,13143,79,37,726,18,2839,29,197,61,30936,61,56,52,13,666,14,15,242,6521,51,360,18,26,19,92,9932,27,45,3035,21,82,17990,1057,117,538
204,93309,109,62,134,85,7275,61,21,960,25,4606,22,142,44,27654,68,115,45,21,1105,31,27,197,12032,69,272,12,17,23,91,11304,37,67,4416,26,70,18766,1128,147,733
205,97625,217,148,244,83,9093,54,24,2843,19,6457,18,74,25,29010,50,48,61,10,771,47,18,77,5492,67,280,42,39,21,58,13660,11,86,12092,30,90,14536,438,49,267
206,93160,163,134,185,109,7106,51,33,3060,21,4966,20,90,33,27238,46,55,48,10,658,32,27,142,9882,82,234,33,24,9,71,12616,26,73,7739,25,98,16088,557,70,298
207,81474,79,90,106,63,7942,82,30,2609,30,3120,11,71,33,20568,50,102,32,12,328,13,15,147,14221,68,128,14,15,8,58,8641,46,62,3398,56,85,17224,729,68,342
208,83359,80,116,112,55,4878,49,22,1296,18,4805,14,52,31,18131,37,98,34,11,719,23,20,125,14834,84,180,6,11,10,57,10475,25,77,5114,19,71,19626,785,56,319
209,83614,95,104,109,47,4672,29,15,1598,19,6091,16,77,39,21202,31,84,23,7,648,15,17,119,9795,74,140,7,16,11,69,10563,33,79,7089,22,64,18420,805,64,378
210,90807,97,82,115,51,5177,37,21,1732,25,5817,21,79,38,23160,52,63,27,7,897,15,26,129,12216,79,198,7,30,25,70,11746,29,97,9370,26,86,17145,682,60,315
211,120564,483,338,446,90,7062,57,17,2514,21,11623,44,103,31,32076,73,99,29,22,1914,33,17,89,1452,123,321,24,66,31,108,33047,26,180,11250,37,85,14472,388,80,361
212,134274,546,345,442,106,7561,59,14,2881,18,13046,54,135,32,36520,75,91,24,46,1779,51,44,102,1529,98,386,30,68,35,137,35461,33,112,13043,47,122,16928,510,85,401
213,116826,497,302,383,98,6549,46,24,2300,17,10318,37,106,33,33484,52,90,36,17,1696,43,32,100,1786,92,319,24,59,32,105,27760,29,129,12235,38,98,15720,503,87,362
214,111406,424,328,434,87,8041,55,11,2618,23,10204,41,112,30,28993,63,79,49,18,1448,40,20,74,1483,95,305,21,64,39,102,28313,16,102,11496,44,116,14041,436,58,322
215,108216,367,242,386,76,6985,53,29,2285,27,8984,47,82,46,30919,50,111,39,22,2005,29,25,101,1915,96,298,22,58,30,97,24833,23,92,10909,30,116,14607,522,77,346
216,104439,441,256,366,102,6331,66,14,2173,22,9070,33,85,34,31361,61,100,38,14,1337,26,21,99,1788,100,305,17,56,23,92,23260,17,94,10349,41,95,13961,481,65,400
217,112710,453,334,371,86,8173,48,24,2407,22,10647,50,107,23,27951,53,95,22,26,1683,45,27,79,1463,114,292,24,67,39,106,29534,24,75,11482,46,95,14719,344,68,323
218,102601,500,273,383,75,5872,53,12,2122,13,9393,53,103,23,27234,62,86,34,13,1560,34,29,91,1663,103,269,25,55,17,108,26342,15,87,9799,36,95,14100,383,83,298
219,111413,453,275,393,84,6070,69,27,2393,14,9854,39,77,38,30666,56,77,48,24,1649,24,23,92,2014,98,290,26,63,30,97,27636,29,94,10724,42,116,15630,477,84,351
220,99348,416,287,362,62,5779,50,15,2087,30,9316,40,107,39,26900,54,89,35,20,1401,41,22,74,1545,114,274,22,46,28,82,25457,28,75,9311,26,94,13087,431,86,316
221,118321,499,482,397,88,9137,67,19,2918,30,10595,51,130,17,29454,55,73,32,32,1578,46,39,88,1113,130,291,44,68,34,127,33896,22,85,10414,38,129,14128,352,90,296
222,110229,454,329,405,86,6384,48,15,2764,27,9877,40,119,33,32882,63,78,33,27,1590,21,35,92,1568,99,293,26,52,31,122,27843,16,84,10161,32,84,12414,358,69,338
223,112343,455,320,441,82,7781,50,24,2798,23,10432,36,134,31,27807,55,92,34,33,1773,36,21,75,1406,104,282,21,68,39,91,31007,27,80,9681,63,112,14694,450,80,322
999,55031,199,170,108,39,2153,30,5,991,5,5860,15,41,18,14318,11,19,13,12,2575,19,14,24,186,26,75,7,25,16,37,21424,12,23,3645,9,26,2317,51,31,145
