"place","pop_2012","pop_2013","pop_2014","district"
"Шахтарський район",19974,19763,19483,"Донецька область"
"Ясинуватський район",28054,27845,27662,"Донецька область"
"смт Верхньоторецьке",3001,2975,2984,"Донецька область"
"смт Желанне",1472,1471,1449,"Донецька область"
"смт Керамік",374,375,373,"Донецька область"
"смт Очеретине",3692,3686,3668,"Донецька область"
"Житомирська область",1273199,1268903,1262512,"Житомирська область"
"м. Житомир",271895,271303,270922,"Житомирська область"
"м. Бердичів",78799,78523,78312,"Житомирська область"
"м. Коростень",65634,65503,65454,"Житомирська область"
"м. Малин",27012,26934,26886,"Житомирська область"
"м. Новоград-Волинський",56066,55991,56049,"Житомирська область"
"Андрушівський район",34835,34526,34184,"Житомирська область"
"м. Андрушівка",9087,9038,8951,"Житомирська область"
"смт Червоне",2894,2874,2848,"Житомирська область"
"Баранівський район",41794,41445,41091,"Житомирська область"
"м. Баранівка",12018,11980,11948,"Житомирська область"
"смт Довбиш",4511,4498,4443,"Житомирська область"
"смт Кам'яний Брід",2621,2602,2603,"Житомирська область"
"смт Мар'янівка",1495,1513,1516,"Житомирська область"
"смт Першотравенськ",3651,3631,3595,"Житомирська область"
"смт Полянка",1723,1727,1725,"Житомирська область"
"Бердичівський район",29410,29234,29013,"Житомирська область"
"смт Гришківці",4276,4297,4276,"Житомирська область"
"Брусилівський район",15583,15388,15268,"Житомирська область"
"смт Брусилів",4993,4958,4931,"Житомирська область"
"Володарсько-Волинський район",35613,35590,35472,"Житомирська область"
"смт Володарськ-Волинський",7854,7862,7807,"Житомирська область"
"смт Іршанськ",6714,6771,6831,"Житомирська область"
"смт Нова Борова",5551,5595,5606,"Житомирська область"
"Ємільчинський район",34929,34492,34104,"Житомирська область"
"смт Ємільчине",6815,6774,6728,"Житомирська область"
"смт Яблунець",1133,1146,1158,"Житомирська область"
"Житомирський район",69768,70054,70222,"Житомирська область"
"смт Гуйва",1436,1436,1419,"Житомирська область"
"смт Новогуйвинське",5246,5259,5309,"Житомирська область"
"смт Озерне",5875,5854,5913,"Житомирська область"
"Коростенський район",28519,28237,27704,"Житомирська область"
"Коростишівський район",41073,40935,40847,"Житомирська область"
"м. Коростишів",25793,25817,25845,"Житомирська область"
"Лугинський район",17368,17161,16923,"Житомирська область"
"смт Лугини",4186,4162,4121,"Житомирська область"
"смт Жовтневе",619,619,623,"Житомирська область"
"Любарський район",27980,27700,27437,"Житомирська область"
"смт Любар",2193,2179,2153,"Житомирська область"
"Малинський район",19890,19728,19417,"Житомирська область"
"смт Гранітне",1507,1506,1510,"Житомирська область"
"смт Чоповичі",2026,2005,1962,"Житомирська область"
"Народицький район",9670,9573,9522,"Житомирська область"
"смт Народичі",2610,2581,2604,"Житомирська область"
"Новоград-Волинський район",47275,47086,46768,"Житомирська область"
"смт Городниця",5471,5458,5411,"Житомирська область"
"Овруцький район",59460,58809,58080,"Житомирська область"
"м. Овруч",16737,16614,16515,"Житомирська область"
"смт Першотравневе",2502,2492,2496,"Житомирська область"
"Олевський район",41945,41934,41894,"Житомирська область"
"м. Олевськ",10216,10231,10222,"Житомирська область"
"смт Бучмани",716,712,720,"Житомирська область"
"смт Діброва",136,134,131,"Житомирська область"
"смт Дружба",490,485,481,"Житомирська область"
"смт Нові Білокоровичі",3028,3091,3142,"Житомирська область"
"смт Новоозерянка",575,571,563,"Житомирська область"
"Попільнянський район",33126,32850,32572,"Житомирська область"
"смт Попільня",5998,6006,5987,"Житомирська область"
"смт Корнин",2371,2339,2283,"Житомирська область"
"Радомишльський район",36878,38530,38550,"Житомирська область"
"м. Радомишль",15002,14943,14930,"Житомирська область"
"смт Біла Криниця",919,913,910,"Житомирська область"
"смт Городок",NA,2116,2449,"Житомирська область"
"Романівський район",29414,29187,29062,"Житомирська область"
"смт Романів",7744,7691,7676,"Житомирська область"
"смт Биківка",1796,1796,1792,"Житомирська область"
"смт Миропіль",4790,4746,4710,"Житомирська область"
"Ружинський район",28616,28191,27765,"Житомирська область"
"смт Ружин",4662,4607,4605,"Житомирська область"
"Червоноармійський район",23661,23493,23296,"Житомирська область"
"смт Червоноармійськ",5463,5454,5434,"Житомирська область"
"Черняхівський район",30382,30015,29480,"Житомирська область"
"смт Черняхів",9890,9801,9724,"Житомирська область"
"смт Головине",2122,2034,1980,"Житомирська область"
"Чуднівський район",36604,36491,36218,"Житомирська область"
"м. Чуднів",5782,5794,5814,"Житомирська область"
"смт Вакуленчук",2014,2039,2017,"Житомирська область"
"смт Великі Коровинці",2343,2335,2315,"Житомирська область"
"смт Іванопіль",3424,3409,3364,"Житомирська область"
"Закарпатська область",1250759,1254393,1256850,"Закарпатська область"
"м. Ужгород",116556,116349,115947,"Закарпатська область"
"м. Берегове",24505,24458,24371,"Закарпатська область"
"м. Мукачеве",84630,84992,85487,"Закарпатська область"
"м. Хуст",28537,28643,28600,"Закарпатська область"
"м.Чоп",8977,8994,9018,"Закарпатська область"
"Берегівський район",51716,51804,51842,"Закарпатська область"
"смт Батьово",3031,3061,3080,"Закарпатська область"
"Великоберезнянський район",26386,26439,26503,"Закарпатська область"
"смт Великий Березний",7142,7207,7292,"Закарпатська область"
"Виноградівський район",119105,119767,120310,"Закарпатська область"
"м. Виноградів",25503,25565,25580,"Закарпатська область"
"смт Вилок",3318,3324,3327,"Закарпатська область"
"смт Королево",9156,9339,9510,"Закарпатська область"
"Воловецький район",24379,24329,24334,"Закарпатська область"
"смт Воловець",5177,5169,5171,"Закарпатська область"
"смт Жденієво",1109,1098,1096,"Закарпатська область"
"Іршавський район",99038,99430,99531,"Закарпатська область"
"м. Іршава",9189,9221,9220,"Закарпатська область"
"Міжгірський район",48168,48186,48100,"Закарпатська область"
"смт Міжгір'я",9577,9616,9637,"Закарпатська область"
"Мукачівський район",100813,101045,101178,"Закарпатська область"
"смт Кольчино",4346,4345,4339,"Закарпатська область"
"смт Чинадійово",6860,6908,6951,"Закарпатська область"
"Перечинський район",31272,31435,31629,"Закарпатська область"
"м. Перечин",6706,6716,6720,"Закарпатська область"
"Рахівський район",91115,91557,91857,"Закарпатська область"
"м. Рахів",15197,15243,15283,"Закарпатська область"
"смт Великий Бичків",9379,9380,9396,"Закарпатська область"
"смт Кобилецька Поляна",3392,3420,3445,"Закарпатська область"
"смт Ясіня",8362,8454,8482,"Закарпатська область"
"Свалявський район",54361,54495,54609,"Закарпатська область"
"м. Свалява",16962,17027,17066,"Закарпатська область"
"Тячівський район",173503,174087,174523,"Закарпатська область"
"м. Тячів",9154,9162,9127,"Закарпатська область"
"смт Буштино",8646,8643,8609,"Закарпатська область"
"смт Дубове",9686,9775,9807,"Закарпатська область"
"смт Солотвино",8973,8955,8925,"Закарпатська область"
"смт Тересва",7556,7594,7602,"Закарпатська область"
"смт Усть-Чорна",1505,1514,1525,"Закарпатська область"
"Ужгородський район",68786,69324,69837,"Закарпатська область"
"смт Середнє",3780,3853,3902,"Закарпатська область"
"Хустський район",95444,95586,95662,"Закарпатська область"
"смт Вишково",8361,8375,8347,"Закарпатська область"
"Запорізька область",1791668,1785243,1775833,"Запорізька область"
"м. Запоріжжя",772627,770672,766268,"Запорізька область"
"м. Бердянськ",116563,116034,115500,"Запорізька область"
"м. Енергодар",54638,54708,54536,"Запорізька область"
"м. Мелітополь",156885,156984,156889,"Запорізька область"
"м. Токмак",33168,32996,32772,"Запорізька область"
"Бердянський район",26474,26240,25991,"Запорізька область"
"смт Андріївка",2986,2976,2936,"Запорізька область"
"Василівський район",65887,65499,65138,"Запорізька область"
"м. Василівка",14059,13996,13875,"Запорізька область"
"м. Дніпрорудне",19617,19479,19361,"Запорізька область"
"смт Степногірськ",4534,4510,4520,"Запорізька область"
"Великобілозерський район",8298,8234,8178,"Запорізька область"
"Веселівський район",22222,22132,22002,"Запорізька область"
"смт Веселе",10030,10071,10059,"Запорізька область"
"Вільнянський район",47994,47996,48034,"Запорізька область"
"м. Вільнянськ",15802,15682,15787,"Запорізька область"
"смт Кам'яне",1215,1217,1223,"Запорізька область"
"Гуляйпільський район",28305,27942,27579,"Запорізька область"
"м. Гуляйполе",14489,14358,14180,"Запорізька область"
"смт Залізничне",1160,1150,1134,"Запорізька область"
"Запорізький район",57655,57893,57904,"Запорізька область"
"смт Балабине",6147,6166,6171,"Запорізька область"
"смт Кушугум",8239,8258,8254,"Запорізька область"
"смт Малокатеринівка",3471,3466,3444,"Запорізька область"
"Кам'янсько-Дніпровський район",41462,41253,40962,"Запорізька область"
"м. Кам'янка-Дніпровська",13541,13495,13383,"Запорізька область"
"Куйбишевський район",23571,23354,23089,"Запорізька область"
"смт Куйбишеве",7362,7321,7283,"Запорізька область"
"смт Комиш-Зоря",2308,2311,2275,"Запорізька область"
"Мелітопольський район",50530,50188,50122,"Запорізька область"
"смт Мирне",3088,3086,3086,"Запорізька область"
"Михайлівський район",29762,29672,29584,"Запорізька область"
"смт Михайлівка",12575,12520,12475,"Запорізька область"
"смт Пришиб",3267,3272,3283,"Запорізька область"
"Новомиколаївський район",16819,16656,16448,"Запорізька область"
"смт Новомиколаївка",5525,5485,5442,"Запорізька область"
"смт Тернувате",1451,1430,1417,"Запорізька область"
"Оріхівський район",47535,47228,46926,"Запорізька область"
"м. Оріхів",15409,15281,15161,"Запорізька область"
"смт Комишуваха",5381,5374,5376,"Запорізька область"
"Пологівський район",42071,41580,41194,"Запорізька область"
"м. Пологи",20124,19906,19750,"Запорізька область"
"Приазовський район",28743,28545,28299,"Запорізька область"
"смт Приазовське",6814,6821,6814,"Запорізька область"
"смт Нововасилівка",2492,2465,2422,"Запорізька область"
"Приморський район",31210,31069,30848,"Запорізька область"
"м. Приморськ",12182,12208,12194,"Запорізька область"
"Розівський район",9492,9316,9213,"Запорізька область"
"смт Розівка",3465,3408,3363,"Запорізька область"
"Токмацький район",23826,23612,23336,"Запорізька область"
"м. Молочанськ",7011,6980,6891,"Запорізька область"
"Чернігівський район",18150,17859,17591,"Запорізька область"
"смт Чернігівка",6281,6186,6129,"Запорізька область"
"Якимівський район",34647,34456,34298,"Запорізька область"
"смт Якимівка",11952,11947,11923,"Запорізька область"
"смт Кирилівка",3470,3455,3460,"Запорізька область"
"Івано-Франківська область",1380128,1381788,1382096,"Івано-Франківська область"
"м. Івано-Франківськ",224660,226018,227030,"Івано-Франківська область"
"м. Болехів",10751,10768,10770,"Івано-Франківська область"
"м. Калуш",67562,67585,67559,"Івано-Франківська область"
"м. Коломия",61290,61428,61350,"Івано-Франківська область"
"м. Яремче",8065,8124,8201,"Івано-Франківська область"
"смт Ворохта",4154,4180,4215,"Івано-Франківська область"
"Богородчанський район",69664,69906,70155,"Івано-Франківська область"
"смт Богородчани",7852,7872,7852,"Івано-Франківська область"
"смт Солотвин",3933,3930,3938,"Івано-Франківська область"
"Верховинський район",29826,30040,30258,"Івано-Франківська область"
"смт Верховина",5661,5723,5765,"Івано-Франківська область"
"Галицький район",61517,61238,60884,"Івано-Франківська область"
"м. Галич",6276,6290,6264,"Івано-Франківська область"
"м. Бурштин",15346,15340,15370,"Івано-Франківська область"
"смт Більшівці",2096,2087,2068,"Івано-Франківська область"
"Городенківський район",55609,55238,54771,"Івано-Франківська область"
"м. Городенка",9404,9386,9384,"Івано-Франківська область"
"смт Чернелиця",1718,1700,1700,"Івано-Франківська область"
"Долинський район",69415,69512,69764,"Івано-Франківська область"
"м. Долина",20545,20622,20654,"Івано-Франківська область"
"смт Вигода",2227,2238,2262,"Івано-Франківська область"
"Калуський район",60455,60374,60088,"Івано-Франківська область"
"смт Войнилів",2748,2757,2752,"Івано-Франківська область"
"Коломийський район",100758,100681,100326,"Івано-Франківська область"
"смт Гвіздець",1927,1943,1946,"Івано-Франківська область"
"смт Отинія",5463,5490,5560,"Івано-Франківська область"
"смт Печеніжин",5292,5327,5342,"Івано-Франківська область"
"Косівський район",88392,88387,88475,"Івано-Франківська область"
"м. Косів",8517,8543,8621,"Івано-Франківська область"
"смт Кути",4118,4073,4059,"Івано-Франківська область"
"смт Яблунів",2046,2056,2073,"Івано-Франківська область"
"Надвірнянський район",114251,114859,115263,"Івано-Франківська область"
"м. Надвірна",22093,22209,22255,"Івано-Франківська область"
"смт Битків",4338,4378,4388,"Івано-Франківська область"
"смт Делятин",8264,8319,8365,"Івано-Франківська область"
"смт Ланчин",7929,7940,7933,"Івано-Франківська область"
"Рогатинський район",43651,43133,42473,"Івано-Франківська область"
"м. Рогатин",8095,8077,8000,"Івано-Франківська область"
"смт Букачівці",1385,1366,1341,"Івано-Франківська область"
"Рожнятівський район",73530,73434,73397,"Івано-Франківська область"
"смт Рожнятів",3885,3882,3878,"Івано-Франківська область"
"смт Брошнів-Осада",5748,5760,5762,"Івано-Франківська область"
"смт Перегінське",12554,12597,12667,"Івано-Франківська область"
"Снятинський район",66003,65992,65864,"Івано-Франківська область"
"м. Снятин",10156,10106,10102,"Івано-Франківська область"
"смт Заболотів",4076,4059,4055,"Івано-Франківська область"
"Тисменицький район",83532,83373,82992,"Івано-Франківська область"
"м. Тисмениця",9575,9497,9443,"Івано-Франківська область"
"смт Єзупіль",2944,2920,2881,"Івано-Франківська область"
"смт Лисець",2974,2959,2925,"Івано-Франківська область"
"Тлумацький район",49076,48785,48478,"Івано-Франківська область"
"м. Тлумач",8844,8829,8885,"Івано-Франківська область"
"смт Обертин",3195,3191,3158,"Івано-Франківська область"
"Київська область",1719558,1722052,1725478,"Київська область"
"м. Біла Церква",210551,210919,211205,"Київська область"
"м. Березань",16527,16543,16570,"Київська область"
"м. Бориспіль",58868,59545,60160,"Київська область"
"м. Бровари",97146,98250,98874,"Київська область"
"м. Буча",27909,28483,29805,"Київська область"
"м. Васильків",36427,36672,36888,"Київська область"
"м. Ірпінь",41693,42924,44023,"Київська область"
"смт Ворзель",5648,5677,5836,"Київська область"
"смт Гостомель",14304,14411,14467,"Київська область"
"смт Коцюбинське",15196,15263,15368,"Київська область"
"м. Обухів",32876,33102,33180,"Київська область"
"м. Переяслав-Хмельницький",27923,27945,27864,"Київська область"
"м. Прип'ять",NA,NA,NA,"Київська область"
"м. Ржищів",7529,7532,7545,"Київська область"
"м. Славутич",24726,24826,24952,"Київська область"
"м. Фастів",48370,48237,48098,"Київська область"
"Баришівський район",36913,36676,36424,"Київська область"
"смт Баришівка",10969,11012,11009,"Київська область"
"Білоцерківський район",49228,49055,48832,"Київська область"
"м. Узин",12146,12122,12150,"Київська область"
"смт Терезине",1656,1658,1649,"Київська область"
"Богуславський район",36067,35730,35383,"Київська область"
"м. Богуслав",16864,16825,16786,"Київська область"
"Бориспільський район",52571,52699,52977,"Київська область"
"Бородянський район",57220,57377,57396,"Київська область"
"смт Бородянка",13086,13135,13167,"Київська область"
"смт Бабинці",2690,2713,2746,"Київська область"
"смт Клавдієво-Тарасове",5059,5069,5069,"Київська область"
"смт Немішаєве",7052,7193,7340,"Київська область"
"смт Пісківка",7032,7026,7012,"Київська область"
"Броварський район",68591,68536,68410,"Київська область"
"смт Велика Димерка",9606,9623,9619,"Київська область"
"смт Калинівка",3748,3774,3802,"Київська область"
"смт Калита",4793,4765,4745,"Київська область"
"Васильківський район",57983,57894,57788,"Київська область"
"смт Глеваха",8569,8607,8679,"Київська область"
"смт Гребінки",5769,5784,5713,"Київська область"
"смт Дослідницьке",1924,1920,1915,"Київська область"
"смт Калинівка",5292,5309,5315,"Київська область"
"Вишгородський район",72043,72500,72858,"Київська область"
"м. Вишгород",26198,26536,26866,"Київська область"
"смт Димер",5786,5789,5846,"Київська область"
"Володарський район",18312,18145,17930,"Київська область"
"смт Володарка",6350,6297,6259,"Київська область"
"Згурівський район",17680,17446,17161,"Київська область"
"смт Згурівка",5365,5338,5278,"Київська область"
"Іванківський район",30971,30676,30411,"Київська область"
"м. Чорнобиль",NA,NA,NA,"Київська область"
"смт Іванків",10678,10625,10596,"Київська область"
"Кагарлицький район",34428,34231,33945,"Київська область"
"м. Кагарлик",13700,13758,13730,"Київська область"
"Києво-Святошинський район",157119,158835,162281,"Київська область"
"м. Боярка",35130,35320,35558,"Київська область"
"м. Вишневе",37012,37457,38011,"Київська область"
"смт Чабани",3875,4048,4193,"Київська область"
"Макарівський район",38483,37991,37574,"Київська область"
"смт Макарів",10362,10148,10145,"Київська область"
"смт Кодра",1459,1443,1444,"Київська область"
"Миронівський район",35236,35026,34809,"Київська область"
"м. Миронівка",11970,11964,11851,"Київська область"
"Обухівський район",35630,35778,35810,"Київська область"
"м. Українка",15458,15644,15775,"Київська область"
"смт Козин",3229,3269,3333,"Київська область"
"Переяслав-Хмельницький район",29712,29301,28869,"Київська область"
"Поліський район",6011,5926,5855,"Київська область"
"смт Красятичі",660,659,647,"Київська область"
"Рокитнянський район",28589,28264,28024,"Київська область"
"смт Рокитне",11484,11395,11371,"Київська область"
"Сквирський район",38701,38371,38094,"Київська область"
"м. Сквира",16800,16715,16616,"Київська область"
"Ставищенський район",23545,23342,23041,"Київська область"
"смт Ставище",6932,6928,6851,"Київська область"
"Таращанський район",30089,29670,29281,"Київська область"
"м. Тараща",11529,11410,11275,"Київська область"
"Тетіївський район",32523,32420,32151,"Київська область"
"м. Тетіїв",13312,13329,13270,"Київська область"
"Фастівський район",31469,31340,31142,"Київська область"
"смт Борова",7273,7279,7317,"Київська область"
"смт Кожанка",2116,2113,2098,"Київська область"
"Яготинський район",34312,34052,33751,"Київська область"
"м. Яготин",20501,20445,20340,"Київська область"
"Кіровоградська область",1002420,995171,987565,"Кіровоградська область"
"м. Кіровоград",234919,234322,233333,"Кіровоградська область"
"смт Нове",8638,8597,8652,"Кіровоградська область"
"м. Знам'янка",24255,23983,23743,"Кіровоградська область"
"смт Знам'янка Друга",5160,5142,5101,"Кіровоградська область"
"м. Олександрія",83072,82819,82636,"Кіровоградська область"
"смт Димитрове",4872,4891,4877,"Кіровоградська область"
"смт Пантаївка",2745,2733,2732,"Кіровоградська область"
"м. Світловодськ",47036,46613,46372,"Кіровоградська область"
"смт Власівка",7739,7719,7705,"Кіровоградська область"
"Бобринецький район",26696,26534,26328,"Кіровоградська область"
"м. Бобринець",10944,10991,11005,"Кіровоградська область"
"Вільшанський район",13285,13092,12902,"Кіровоградська область"
"смт Вільшанка",4841,4778,4729,"Кіровоградська область"
"Гайворонський район",39466,39165,38773,"Кіровоградська область"
"м. Гайворон",15277,15214,15087,"Кіровоградська область"
"смт Завалля",4897,4896,4882,"Кіровоградська область"
"смт Салькове",1802,1789,1751,"Кіровоградська область"
"Голованівський район",32341,32095,31736,"Кіровоградська область"
"смт Голованівськ",6128,6133,6093,"Кіровоградська область"
"смт Побузьке",6059,6059,6059,"Кіровоградська область"
"Добровеличківський район",35272,34838,34492,"Кіровоградська область"
"м. Помічна",9293,9210,9201,"Кіровоградська область"
"смт Добровеличківка",5822,5763,5699,"Кіровоградська область"
"Долинський район",35456,35217,34929,"Кіровоградська область"
"м. Долинська",19419,19420,19457,"Кіровоградська область"
"смт Молодіжне",1336,1319,1280,"Кіровоградська область"
"Знам'янський район",24121,23806,23492,"Кіровоградська область"
"Кіровоградський район",37518,37409,37267,"Кіровоградська область"
"Компаніївський район",15735,15622,15540,"Кіровоградська область"
"смт Компаніївка",4525,4544,4535,"Кіровоградська область"
"Маловисківський район",45324,44890,44459,"Кіровоградська область"
"м. Мала Виска",11201,11141,11014,"Кіровоградська область"
"смт Смоліне",9773,9764,9841,"Кіровоградська область"
"Новгородківський район",16048,15913,15791,"Кіровоградська область"
"смт Новгородка",5835,5839,5825,"Кіровоградська область"
"Новоархангельський район",25639,25328,25139,"Кіровоградська область"
"смт Новоархангельськ",6398,6364,6382,"Кіровоградська область"
"Новомиргородський район",29777,29419,29045,"Кіровоградська область"
"м. Новомиргород",11653,11569,11495,"Кіровоградська область"
"смт Капітанівка",2659,2620,2604,"Кіровоградська область"
"Новоукраїнський район",43801,43334,42911,"Кіровоградська область"
"м. Новоукраїнка",17852,17741,17554,"Кіровоградська область"
"Олександрівський район",29043,28616,28166,"Кіровоградська область"
"смт Олександрівка",9026,8968,8868,"Кіровоградська область"
"смт Єлизаветградка",1309,1303,1275,"Кіровоградська область"
"смт Лісове",1064,1087,1145,"Кіровоградська область"
"Олександрійський район",37181,36885,36495,"Кіровоградська область"
"смт Нова Прага",7214,7139,7051,"Кіровоградська область"
"смт Приютівка",3303,3307,3328,"Кіровоградська область"
"Онуфріївський район",18991,18870,18640,"Кіровоградська область"
"смт Онуфріївка",4044,4042,4009,"Кіровоградська область"
"смт Павлиш",4704,4695,4676,"Кіровоградська область"
"Петрівський район",25273,24965,24680,"Кіровоградська область"
"смт Петрове",7572,7530,7461,"Кіровоградська область"
"смт Балахівка",851,847,830,"Кіровоградська область"
"Світловодський район",13154,13042,12792,"Кіровоградська область"
"Ульяновський район",23754,23404,23112,"Кіровоградська область"
"м. Ульяновка",6199,6109,6092,"Кіровоградська область"
"Устинівський район",13686,13534,13368,"Кіровоградська область"
"смт Устинівка",3494,3482,3484,"Кіровоградська область"
"Луганська область",2272676,2256551,2239473,"Луганська область"
"м. Луганськ",427187,425848,424113,"Луганська область"
"м. Олександрівськ",6683,6635,6596,"Луганська область"
"м. Щастя",12937,12773,12629,"Луганська область"
"смт Ювілейне",16759,16846,16948,"Луганська область"
"м. Алчевськ",112071,111360,110474,"Луганська область"
"м. Антрацит",55060,54640,54242,"Луганська область"
"смт Бокове-Платове",2689,2660,2650,"Луганська область"
"смт Верхній Нагольчик",1758,1745,1732,"Луганська область"
"смт Дубівський",4023,3984,3957,"Луганська область"
"смт Кам'яне",2744,2727,2705,"Луганська область"
"смт Кріпенський",6921,6870,6836,"Луганська область"
"смт Щотове",3755,3711,3641,"Луганська область"
"м. Брянка",47974,47512,46830,"Луганська область"
"смт Вергулівка",1315,1312,1295,"Луганська область"
"смт Ганнівка",273,266,259,"Луганська область"
"смт Глибокий",219,217,211,"Луганська область"
"смт Ломуватка",921,933,925,"Луганська область"
"смт Южна Ломуватка",3383,3395,3392,"Луганська область"
"м. Кіровськ",28852,28529,28244,"Луганська область"
"смт Донецький",3750,3688,3635,"Луганська область"
"смт Новотошківське",2359,2349,2347,"Луганська область"
"смт Червоногвардійське",1415,1390,1365,"Луганська область"
"м. Красний Луч",83460,82765,82228,"Луганська область"
"м. Вахрушеве",12050,11878,11731,"Луганська область"
"м. Міусинськ",4938,4830,4732,"Луганська область"
"м. Петровське",13391,13260,13117,"Луганська область"
"смт Грушове",905,882,860,"Луганська область"
"смт Запоріжжя",916,892,866,"Луганська область"
"смт Княгинівка",917,886,868,"Луганська область"
"смт Садово-Хрустальненський",614,606,597,"Луганська область"
"смт Софіївський",4024,3950,3926,"Луганська область"
"смт Федорівка",411,412,414,"Луганська область"
"смт Хрустальне",1442,1428,1393,"Луганська область"
"смт Штерівка",1300,1273,1246,"Луганська область"
"м. Краснодон",44574,44283,44014,"Луганська область"
"м. Молодогвардійськ",23430,23332,23113,"Луганська область"
"м. Суходільськ",21167,21061,20949,"Луганська область"
"смт Гірне",59,52,43,"Луганська область"
"смт Енгельсове",1010,988,974,"Луганська область"
"смт Ізварине",1727,1692,1675,"Луганська область"
"смт Краснодарський",337,336,332,"Луганська область"
"смт Краснодон",5379,5364,5287,"Луганська область"
"смт Сєверний",1928,1894,1854,"Луганська область"
"смт Сєверо-Гундорівський",1131,1108,1107,"Луганська область"
"смт Урало-Кавказ",2620,2555,2526,"Луганська область"
"м. Лисичанськ",105119,104314,103459,"Луганська область"
"м. Новодружеськ",7816,7749,7660,"Луганська область"
"м. Привілля",7850,7747,7643,"Луганська область"
"м. Первомайськ",38640,38435,38235,"Луганська область"
"м. Гірське",10216,10131,10041,"Луганська область"
"м. Золоте",14745,14572,14376,"Луганська область"
"смт Нижнє",2602,2541,2502,"Луганська область"
"смт Тошківка",4378,4366,4298,"Луганська область"
"м. Ровеньки",48262,47852,47370,"Луганська область"
"смт Великокам'янка",1149,1148,1149,"Луганська область"
"смт Гірник",802,795,785,"Луганська область"
"смт Дзержинський",8679,8691,8683,"Луганська область"
"смт Кленовий",2101,2103,2096,"Луганська область"
"смт Михайлівка",2808,2827,2801,"Луганська область"
"смт Нагольно-Тарасівка",2107,2105,2086,"Луганська область"
"смт Новодар'ївка",4436,4444,4425,"Луганська область"
"смт Пролетарський",1569,1568,1569,"Луганська область"
"смт Тацине",270,269,270,"Луганська область"
"смт Ясенівський",9028,9035,9033,"Луганська область"
"м. Рубіжне",60750,60374,59951,"Луганська область"
"м. Свердловськ",65721,65276,64895,"Луганська область"
"м. Червонопартизанськ",15749,15659,15582,"Луганська область"
"смт Володарськ",2787,2778,2757,"Луганська область"
"смт Калінінський",1723,1710,1683,"Луганська область"
"смт Комсомольський",3137,3089,3084,"Луганська область"
"смт Ленінське",3437,3374,3346,"Луганська область"
"смт Павлівка",1071,1050,1035,"Луганська область"
"смт Шахтарське",3632,3611,3577,"Луганська область"
"м. Сєвєродонецьк",109891,109466,108899,"Луганська область"
"смт Борівське",5928,5932,5897,"Луганська область"
"смт Воронове",850,853,867,"Луганська область"
"смт Метьолкине",729,741,755,"Луганська область"
"смт Сиротине",1615,1619,1637,"Луганська область"
"м. Стаханов",78255,77593,77168,"Луганська область"
"м. Алмазна",4363,4325,4299,"Луганська область"
"м. Ірміно",10200,10044,9886,"Луганська область"
"Антрацитівський район",31454,31044,30672,"Луганська область"
"смт Єсаулівка",1487,1462,1445,"Луганська область"
"смт Іванівка",7310,7274,7219,"Луганська область"
"смт Красний Кут",2506,2474,2453,"Луганська область"
"смт Маломиколаївка",1750,1719,1702,"Луганська область"
"смт Нижній Нагольчик",1656,1650,1633,"Луганська область"
"смт Фащівка",2414,2368,2309,"Луганська область"
"Біловодський район",24459,24290,24221,"Луганська область"
"смт Біловодськ",8224,8167,8179,"Луганська область"
"Білокуракинський район",19858,19637,19512,"Луганська область"
"смт Білокуракине",6811,6737,6669,"Луганська область"
"смт Лозно-Олександрівка",990,970,953,"Луганська область"
"Краснодонський район",29983,29691,29432,"Луганська область"
"смт Великий Лог",640,629,609,"Луганська область"
"смт Мирне",376,385,382,"Луганська область"
"смт Новоолександрівка",1591,1582,1572,"Луганська область"
"смт Новосвітлівка",3736,3711,3717,"Луганська область"
"смт Сімейкине",2303,2278,2257,"Луганська область"
"смт Талове",1427,1418,1407,"Луганська область"
"Кремінський район",42357,41809,41264,"Луганська область"
"м. Кремінна",20486,20324,20137,"Луганська область"
"смт Красноріченське",4522,4429,4355,"Луганська область"
"Лутугинський район",67977,67563,67001,"Луганська область"
"м. Лутугине",18078,17989,17905,"Луганська область"
"смт Біле",6589,6512,6427,"Луганська область"
"смт Білоріченський",3373,3334,3289,"Луганська область"
"смт Врубівський",1314,1311,1287,"Луганська область"
"смт Георгіївка",6488,6493,6432,"Луганська область"
"смт Леніна",1074,1070,1054,"Луганська область"
"смт Успенка",8926,8895,8829,"Луганська область"
"смт Челюскінець",1145,1141,1122,"Луганська область"
"смт Юр'ївка",3011,2988,2974,"Луганська область"
"Марківський район",15991,15747,15504,"Луганська область"
"смт Марківка",6352,6247,6139,"Луганська область"
"Міловський район",15696,15570,15471,"Луганська область"
"смт Мілове",5977,5944,5929,"Луганська область"
"Новоайдарський район",25618,25294,25086,"Луганська область"
"смт Новоайдар",8595,8555,8498,"Луганська область"
"Новопсковський район",35271,35054,34839,"Луганська область"
"смт Новопсков",9889,9882,9891,"Луганська область"
"смт Білолуцьк",4013,4017,3983,"Луганська область"
"Перевальський район",72387,71686,70875,"Луганська область"
"м. Перевальськ",26037,25941,25744,"Луганська область"
"м. Артемівськ",7551,7506,7465,"Луганська область"
"м. Зоринськ",7447,7331,7291,"Луганська область"
"смт Байрачки",848,842,820,"Луганська область"
"смт Бугаївка",3156,3107,3079,"Луганська область"
"смт Городище",2546,2499,2455,"Луганська область"
