"","deputat","partia","perc_for","votes_for","tvo","oblast","year","tvo_pres","pres_candidate","pres_perc_for","pres_votes_for"
"118","Погребняк Ігор Анатолійович","Політична партія ""Зелені""",0.59,411,6,"Автономна Республіка Крим",2012,6,NA,0,0
"119","Харін Олександр Васильович","Українська морська партія",0.56,390,6,"Автономна Республіка Крим",2012,6,NA,0,0
"120","Ткачук Сергій Васильович","самовисування",0.52,365,6,"Автономна Республіка Крим",2012,6,NA,0,0
"121","Меньщиков Сергій Олександрович","Політична партія ""Держава""",0.44,307,6,"Автономна Республіка Крим",2012,6,NA,0,0
"122","Брайко Сергій Борисович","Партія регіонів",52.21,32366,7,"Автономна Республіка Крим",2012,7,"Янукович",54.3619956253641,49458
"123","Рафалович Віктор Павлович","Комуністична партія України",12.58,7800,7,"Автономна Республіка Крим",2012,7,"Симоненко",5.41883291748645,4930
"124","Формус Юрій Віталійович","політична партія Всеукраїнське об’єднання ""Батьківщина""",9.48,5877,7,"Автономна Республіка Крим",2012,7,"Тимошенко",9.74950263247563,8870
"125","Хворов Сергій Володимирович","Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка""",6.19,3837,7,"Автономна Республіка Крим",2012,7,NA,0,0
"126","Тараненко Григорій Леонідович","самовисування",3.65,2267,7,"Автономна Республіка Крим",2012,7,NA,0,0
"127","Яковенко Олексій Вікторович","Партія ""Союз""",3.02,1874,7,"Автономна Республіка Крим",2012,7,NA,0,0
"128","Романюк Ігор Анатолійович","Партія Наталії Королевської ""Україна – Вперед!""",1.79,1114,7,"Автономна Республіка Крим",2012,7,NA,0,0
"129","Красненков Яків Олександрович","Соціально-екологічна партія ""Союз. Чорнобиль. Україна.""",1.57,977,7,"Автономна Республіка Крим",2012,7,NA,0,0
"130","Яворський Віталій Миколайович","Політична партія ""Зелені""",1.51,942,7,"Автономна Республіка Крим",2012,7,NA,0,0
"131","Чайка Дмитро Іванович","Партія Зелених України",1.48,920,7,"Автономна Республіка Крим",2012,7,NA,0,0
"132","Зорін Ігор Володимирович","Українська партія ""Зелена планета""",1.23,765,7,"Автономна Республіка Крим",2012,7,NA,0,0
"133","Бондаренко Максим Олексійович","Народна Партія",1.2,750,7,"Автономна Республіка Крим",2012,7,"Литвин",1.97408193099506,1796
"134","Балмашнов Михайло Юрійович","Політична партія ""Народна ініціатива""",1.19,741,7,"Автономна Республіка Крим",2012,7,NA,0,0
"135","Карапетров Андрій Миколайович","Партія ""Віче""",0.79,494,7,"Автономна Республіка Крим",2012,7,NA,0,0
"136","Хоруженко Максим Сергійович","Українська морська партія",0.57,359,7,"Автономна Республіка Крим",2012,7,NA,0,0
"137","Сальков Данило Володимирович","Політична партія ""НОВА ПОЛІТИКА""",0.5,315,7,"Автономна Республіка Крим",2012,7,NA,0,0
"138","Дорофєєв Ігор Іванович","Партія ""Об’єднані ліві і селяни""",0.49,309,7,"Автономна Республіка Крим",2012,7,NA,0,0
"139","Агальцов-Новохатський Анатолій Андрійович","Політична партія ""Держава""",0.45,280,7,"Автономна Республіка Крим",2012,7,NA,0,0
"140","Дейч Борис Давидович","Партія регіонів",62.42,46734,8,"Автономна Республіка Крим",2012,8,"Янукович",60.8784264375992,44507
"141","Барієв Ескендер Енверович","політична партія Всеукраїнське об’єднання ""Батьківщина""",15.87,11882,8,"Автономна Республіка Крим",2012,8,"Тимошенко",16.901023143842,12356
"142","Івашина Роксолана Ігорівна","Комуністична партія України",8.11,6072,8,"Автономна Республіка Крим",2012,8,"Симоненко",4.13087487005526,3020
"143","Хомутов Віталій Миколайович","Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка""",4.33,3249,8,"Автономна Республіка Крим",2012,8,NA,0,0
"144","Німетуллаєв Едем Рідванович","Партія Наталії Королевської ""Україна – Вперед!""",2.06,1546,8,"Автономна Республіка Крим",2012,8,NA,0,0
"145","Пономаренко Сергій Петрович","Українська партія ""Зелена планета""",1.02,771,8,"Автономна Республіка Крим",2012,8,NA,0,0
"146","Мельник Галина Миколаївна","Політична партія ""НОВА ПОЛІТИКА""",1.01,761,8,"Автономна Республіка Крим",2012,8,NA,0,0
"147","Касєєва Олена Миколаївна","Соціально-екологічна партія ""Союз. Чорнобиль. Україна.""",0.93,699,8,"Автономна Республіка Крим",2012,8,NA,0,0
"148","Крижановський Станіслав Іванович","Партія ""Союз""",0.81,613,8,"Автономна Республіка Крим",2012,8,NA,0,0
"149","Биткова Ніна Євгеніївна","Партія ""Віче""",0.81,612,8,"Автономна Республіка Крим",2012,8,NA,0,0
"150","Свиридов Ігор Володимирович","Партія Зелених України",0.79,598,8,"Автономна Республіка Крим",2012,8,NA,0,0
"151","Колотюк Ольга Володимирівна","Політична партія ""Народна ініціатива""",0.5,375,8,"Автономна Республіка Крим",2012,8,NA,0,0
"152","Стрельцова Олена Анатоліївна","Політична партія ""Держава""",0.48,366,8,"Автономна Республіка Крим",2012,8,NA,0,0
"153","Рогульчик Валентина Іванівна","Українська морська партія",0.44,336,8,"Автономна Республіка Крим",2012,8,NA,0,0
"154","Мосієнко Володимир Дмитрович","Партія ""Об’єднані ліві і селяни""",0.34,256,8,"Автономна Республіка Крим",2012,8,NA,0,0
"155","Нечаєв Олександр Ігоревич","Партія регіонів",58.07,42873,9,"Автономна Республіка Крим",2012,9,"Янукович",60.7215409323449,57091
"156","Толочко Елла Петрівна","Комуністична партія України",9.56,7063,9,"Автономна Республіка Крим",2012,9,"Симоненко",5.03079099350145,4730
"157","Лесів Ігор Михайлович","політична партія Всеукраїнське об’єднання ""Батьківщина""",8.06,5957,9,"Автономна Республіка Крим",2012,9,"Тимошенко",12.2111017751353,11481
"158","Мельник Володимир Олександрович","Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка""",5.09,3758,9,"Автономна Республіка Крим",2012,9,NA,0,0
"159","Анелікова Євгенія Андріївна","самовисування",2.64,1955,9,"Автономна Республіка Крим",2012,9,NA,0,0
"160","Грива Олег Олександрович","самовисування",1.95,1442,9,"Автономна Республіка Крим",2012,9,NA,0,0
"161","Андрєєва Наталя Євгенівна","Партія Зелених України",1.9,1407,9,"Автономна Республіка Крим",2012,9,NA,0,0
"162","Ляшенко Олександр Юрійович","Народна Партія",1.61,1192,9,"Автономна Республіка Крим",2012,9,"Литвин",1.79321640910009,1686
"163","Кулєша Сергій Анатолійович","самовисування",1.56,1158,9,"Автономна Республіка Крим",2012,9,NA,0,0
"164","Жаріков Іван Петрович","Партія ""Об’єднані ліві і селяни""",1.11,825,9,"Автономна Республіка Крим",2012,9,NA,0,0
"165","Плошихіна Наталя Василівна","Українська морська партія",1.11,821,9,"Автономна Республіка Крим",2012,9,NA,0,0
"166","Постєвая Тамара Григорівна","Українська партія ""Зелена планета""",1.09,805,9,"Автономна Республіка Крим",2012,9,NA,0,0
"167","Канівець Наталія Іванівна","Політична партія ""Держава""",1.08,802,9,"Автономна Республіка Крим",2012,9,NA,0,0
"168","Іванов Володимир Кіндратович","Політична партія ""Зелені""",1.06,789,9,"Автономна Республіка Крим",2012,9,NA,0,0
"169","Лебедєв Ігор Володимирович","Молодіжна партія України",0.96,715,9,"Автономна Республіка Крим",2012,9,NA,0,0
"170","Мельнікова Тетяна Богданівна","Партія ""Віче""",0.89,661,9,"Автономна Республіка Крим",2012,9,NA,0,0
"171","Луміковський Микола Миколайович","Політична партія ""Народна ініціатива""",0.85,631,9,"Автономна Республіка Крим",2012,9,NA,0,0
"172","Муравейник Юрій Анатолійович","Соціально-екологічна партія ""Союз. Чорнобиль. Україна.""",0.73,541,9,"Автономна Республіка Крим",2012,9,NA,0,0
"173","Тарасов Валерій Іванович","Політична партія ""НОВА ПОЛІТИКА""",0.58,431,9,"Автономна Республіка Крим",2012,9,NA,0,0
"174","Груба Григорій Іванович","Партія регіонів",41.6,30671,10,"Автономна Республіка Крим",2012,10,"Янукович",57.8544542032622,69165
"175","Чийгоз Ахтем Зейтуллайович","самовисування",19.56,14427,10,"Автономна Республіка Крим",2012,10,NA,0,0
"176","Голубєв Михайло Михайлович","Комуністична партія України",10.45,7710,10,"Автономна Республіка Крим",2012,10,"Симоненко",4.89335006273526,5850
"177","Ременюк Олексій Іванович","Політична партія України ""РУСЬ ЄДИНА""",5.15,3799,10,"Автономна Республіка Крим",2012,10,NA,0,0
"178","Вакулін Дмитро Сергійович","Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка""",5.09,3755,10,"Автономна Республіка Крим",2012,10,NA,0,0
"179","Макєєв Михайло Андрійович","Політична партія ""Руська Єдність""",2.28,1682,10,"Автономна Республіка Крим",2012,10,NA,0,0
"180","Тутєров Володимир Лукич","Партія ""Союз""",2.09,1546,10,"Автономна Республіка Крим",2012,10,NA,0,0
"181","Юрьєв Олександр Юрійович","самовисування",2.09,1544,10,"Автономна Республіка Крим",2012,10,NA,0,0
"182","Книрік Костянтин Сергійович","самовисування",1.27,943,10,"Автономна Республіка Крим",2012,10,NA,0,0
"183","Терещенко Олена Вікторівна","Українська партія ""Зелена планета""",1.23,907,10,"Автономна Республіка Крим",2012,10,NA,0,0
"184","Казарін Володимир Павлович","самовисування",1.12,831,10,"Автономна Республіка Крим",2012,10,NA,0,0
"185","Поздняков Андрій Володимирович","самовисування",0.9,669,10,"Автономна Республіка Крим",2012,10,NA,0,0
"186","Решетнікова Світлана Анатоліївна","Українська морська партія",0.72,533,10,"Автономна Республіка Крим",2012,10,NA,0,0
"187","Крутов Сергій Валерійович","самовисування",0.72,532,10,"Автономна Республіка Крим",2012,10,NA,0,0
"188","Коз’якова Ірена В’ячеславівна","Партія ""Віче""",0.69,515,10,"Автономна Республіка Крим",2012,10,NA,0,0
"189","Гуріненко Олексій Миколайович","самовисування",0.69,511,10,"Автономна Республіка Крим",2012,10,NA,0,0
"190","Писана Олена Вікторівна","Соціально-екологічна партія ""Союз. Чорнобиль. Україна.""",0.67,498,10,"Автономна Республіка Крим",2012,10,NA,0,0
"191","Миронов Олександр Володимирович","Політична партія ""НОВА ПОЛІТИКА""",0.62,458,10,"Автономна Республіка Крим",2012,10,NA,0,0
"192","Костюк Віктор Георгійович","самовисування",0.59,437,10,"Автономна Республіка Крим",2012,10,NA,0,0
"193","Тещаєва Олена Володимирівна","Політична партія ""Народна ініціатива""",0.56,419,10,"Автономна Республіка Крим",2012,10,NA,0,0
"194","Похилюк Євгеній Олександрович","Політична партія ""Зелені""",0.56,418,10,"Автономна Республіка Крим",2012,10,NA,0,0
"195","Сейненський Алішер Вікторович","Партія Зелених України",0.45,333,10,"Автономна Республіка Крим",2012,10,NA,0,0
"196","Хруслова Ліліана Мударисівна","Політична партія ""Держава""",0.44,329,10,"Автономна Республіка Крим",2012,10,NA,0,0
"197","Устіменко Андрій Ігорович","Партія ""Об’єднані ліві і селяни""",0.34,256,10,"Автономна Республіка Крим",2012,10,NA,0,0
"198","Домбровський Олександр Георгійович","самовисування",30.16,29841,11,"Вінницька область",2012,11,NA,0,0
"199","Солейко Наталія Петрівна","політична партія Всеукраїнське об’єднання ""Батьківщина""",28,27706,11,"Вінницька область",2012,11,"Тимошенко",41.7264929993694,54925
"200","Станіславенко Людмила Анатоліївна","Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка""",13.75,13606,11,"Вінницька область",2012,11,NA,0,0
"201","Бевз Валерій Ананійович","Комуністична партія України",11.2,11086,11,"Вінницька область",2012,11,"Симоненко",3.16034976563272,4160
"202","Добринська Наталія Володимирівна","Партія регіонів",6.45,6391,11,"Вінницька область",2012,11,"Янукович",12.7568733808905,16792
