"Прізвище, ім'я та по батькові кандидата в депутати","Основні відомості","Висування","Передвиборна програма","Декларація","Дата реєстрації кандидатом","Дата та підстава скасування реєстрації кандидата","tvo"
"БагатирлиЕміне Бахтіярівна","народилася 1 жовтня 1983 року в місті Андижан, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, тимчасово не працює, член Політичної партії ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка"", проживає в селі Ізумрудне Джанкойського району Автономної Республіки Крим, судимість відсутня, суб’єкт висування – Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка"".","Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка""","","","09.08.2012","","3"
"БолтянОлександр Олексійович","народився 7 жовтня 1977 року в місті Євпаторія Кримської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, тимчасово не працює, член політичної партії Всеукраїнське об’єднання ""Свобода"", проживає в місті Євпаторія Автономної Республіки Крим, судимість відсутня, суб’єкт висування – політична партія Всеукраїнське об’єднання ""Свобода"".","політична партія Всеукраїнське об’єднання ""Свобода""","","","10.08.2012","","3"
"БушковськийЯків Гаррієвич","народився 6 жовтня 1972 року в селі Чистопол’є Чистопольського району Кокчетавської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, директор, приватне сільськогосподарське підприємство ""Долина"", безпартійний, проживає в смт Красногвардійське Автономної Республіки Крим, судимість відсутня, суб’єкт висування – Політична партія ""Держава"".","Політична партія ""Держава""","","","07.08.2012","","3"
"ГаврилюкОлена Анатоліївна","народилася 23 лютого 1969 року в місті Джанкой Автономної Республіки Крим, громадянка України, протягом останніх п’яти років проживає на території України, освіта середня, приватний підприємець, безпартійнa, проживає в місті Джанкой Автономної Республіки Крим, судимість відсутня, суб’єкт висування – Партія ""Об'єднані ліві і селяни"".","Партія ""Об’єднані ліві і селяни""","","","13.08.2012","","3"
"ГавришМикола Миколайович","народився 25 сiчня 1964 року в місті Джанкой Автономної Республіки Крим, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, командир, військова частина А 1387, безпартійний, проживає в місті Джанкой Автономної Республіки Крим, судимість відсутня, суб’єкт висування – Комуністична партія України.","Комуністична партія України","","","03.08.2012","","3"
"ДенисенкоОлександр Петрович","народився 7 вересня 1979 року в місті Києві, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, приватний підприємець, безпартійний, проживає в місті Києві, судимість відсутня, самовисування.","Самовисування","","","06.08.2012","","3"
"ДузьВікторія Вікторівна","народилася 4 липня 1979 року в селі Дніпровка Джанкойського району Автономної Республіки Крим, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, директор, Центр соціальної реабілітації дітей інвалідів міста Джанкой, безпартійнa, проживає в місті Джанкой Автономної Республіки Крим, судимість відсутня, суб’єкт висування – Політична партія ""Народна ініціатива"".","Політична партія ""Народна ініціатива""","","","06.08.2012","","3"
"КісієваЛюдмила Олександрівна","народилася 31 травня 1967 року в місті Джанкой Автономної Республіки Крим, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, директор, МПП ""Ізюмінка"", безпартійнa, проживає в місті Джанкой Автономної Республіки Крим, судимість відсутня, самовисування.","Самовисування","","","03.08.2012","","3"
"КудіноваЮлія Сергіївна","народилася 29 травня 1984 року в місті Джанкой Автономної Республіки Крим, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, фізична особа – підприємець, безпартійнa, проживає в місті Джанкой Автономної Республіки Крим, судимість відсутня, суб’єкт висування – Партія ""Союз"".","Партія ""Союз""","","","10.08.2012","","3"
"МатюшенкоЮрій Федорович","народився 12 серпня 1965 року в селі Невське Красногвардійського району Автономної Республіки Крим, громадянин України, протягом останніх п’яти років проживає на території України, освіта середня спеціальна, приватний підприємець, безпартійний, проживає в смт Красногвардійське Автономної Республіки Крим, судимість відсутня, суб’єкт висування – Українська морська партія.","Українська морська партія","","","11.08.2012","","3"
"МирочниковЯков Михайлович","народився 17 сiчня 1958 року в місті Кривий Ріг Дніпропетровської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, начальник, центр Красногвардійського поштового зв’язку № 4 ""Укрпошта"", безпартійний, проживає в смт Красногвардійське Автономної Республіки Крим, судимість відсутня, суб’єкт висування – Молодіжна партія України.","Молодіжна партія України","","","06.08.2012","","3"
"МіщенкоОлександр Валентинович","народився 29 травня 1953 року в селищі Азовське Джанкойського району Автономної Республіки Крим, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, директор, Джанкойська ДЮСШ, безпартійний, проживає в місті Джанкой Автономної Республіки Крим, судимість відсутня, суб’єкт висування – Соціально-екологічна партія ""Союз. Чорнобиль. Україна."".","Соціально-екологічна партія ""Союз. Чорнобиль. Україна.""","","","13.08.2012","","3"
"НетецькаОлена Анатоліївна","народилася 27 жовтня 1972 року в місті Макіївка Донецької області, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, народний депутат України, член Партії регіонів, проживає в місті Сімферополі Автономної Республіки Крим, судимість відсутня, суб’єкт висування – Партія регіонів.","Партія регіонів","","","07.08.2012","","3"
