"Прізвище, ім'я та по батькові кандидата в депутати","Основні відомості","Висування","Передвиборна програма","Декларація","Дата реєстрації кандидатом","Дата та підстава скасування реєстрації кандидата","tvo"
"АмельченкоВасиль Васильович","народився 28 листопада 1962 року в селі Хоромне Климівського району Брянської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, помічник народного депутата України, член Радикальної Партії Олега Ляшка, проживає в місті Чернігові, судимість відсутня, суб’єкт висування – Радикальна Партія Олега Ляшка.","Радикальна Партія Олега Ляшка","","","16.08.2012","","207"
"ЖурманСергій Миколайович","народився 25 грудня 1979 року в місті Лубни Полтавської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, доцент кафедри економіки та менеджменту, Чернігівський національний педагогічний університет імені Т.Г. Шевченка, безпартійний, проживає в місті Чернігові, судимість відсутня, суб’єкт висування – політична партія Всеукраїнське об’єднання ""Батьківщина"".","політична партія Всеукраїнське об’єднання ""Батьківщина""","","","08.08.2012","","207"
"Зінов’євАртур Петрович","народився 5 лютого 1989 року в місті Чернігові, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, слухач, Національна академія державного управління при Президентові України, безпартійний, проживає в місті Києві, судимість відсутня, самовисування.","Самовисування","","","14.08.2012","","207"
"КуніцинВолодимир Миколайович","народився 28 серпня 1968 року в селі Риботин Коропського району Чернігівської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, голова, фермерське господарство ""Вишеньки"", безпартійний, проживає в селі Вишеньки Коропського району Чернігівської області, судимість відсутня, самовисування.","Самовисування","","","11.08.2012","","207"
"ЛещенкоВолодимир Олексійович","народився 26 сiчня 1950 року в селі Горобіївка Срібнянського району Чернігівської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, народний депутат України, секретар Комітету Верховної Ради України з питань законодавчого забезпечення правоохоронної діяльності, член Комуністичної партії України, проживає в місті Чернігові, судимість відсутня, суб’єкт висування – Комуністична партія України.","Комуністична партія України","","","03.08.2012","","207"
"МатюхаВалерія Валеріївна","народилася 14 травня 1981 року в місті Донецьку Донецької області, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, тимчасово виконуючий обов’язки заступника директора, начальник контрольно-ревізійного управління, виконавча дирекція Фонду соціального страхування з тимчасової втрати працездатності, безпартійнa, проживає в місті Донецьку, судимість відсутня, самовисування.","Самовисування","","","16.08.2012","","207"
"НеживийЛеонід Михайлович","народився 15 липня 1962 року в селищі Чільчікан Охотського району Хабаровського краю, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, фізична особа – підприємець, член Політичної партії ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка"", проживає в місті Корюківка Чернігівської області, судимість відсутня, суб’єкт висування – Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка"".","Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка""","","","09.08.2012","","207"
"ПетровОлег Борисович","народився 29 листопада 1969 року в місті Прилуки Чернігівської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта середня спеціальна, тимчасово не працює, безпартійний, проживає в місті Прилуки Чернігівської області, судимість відсутня, самовисування.","Самовисування","","","16.08.2012","","207"
"ПетровОлег Володимирович","народився 20 серпня 1960 року в місті Павлоград Дніпропетровської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, голова правління, Українське молодіжне аерокосмічне об’єднання ""Сузір’я"", член Народно-демократичної партії, проживає в місті Києві, судимість відсутня, самовисування.","Самовисування","","","06.08.2012","","207"
"РибаковІгор Олександрович","народився 14 серпня 1976 року в місті Веймар, Німеччина, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, народний депутат України, безпартійний, проживає в місті Луганську, судимість відсутня, самовисування.","Самовисування","","","06.08.2012","","207"
"ШаповалПетро Дмитрович","народився 1 березня 1948 року в селі Жовтневе Коропського району Чернігівської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, пенсіонер, безпартійний, проживає в місті Чернігові, судимість відсутня, самовисування.","Самовисування","","","06.08.2012","","207"
"ЮхименкоСергій Володимирович","народився 11 квiтня 1959 року в селі Ядути Борзнянського району Чернігівської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, генеральний директор, ПрАТ Корпорація ""Інтерагросистема"", безпартійний, проживає в місті Чернігові, судимість відсутня, суб’єкт висування – Політична партія Українська платформа ""СОБОР"".","Політична партія Українська платформа ""СОБОР""","","","15.08.2012","","207"
"БогатирьовІван Григорович","народився 9 травня 1954 року в селі Халимоново Бахмацького району Чернігівської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, головний науковий співробітник, науковий центр Інституту кримінально-виконавчої служби, безпартійний, проживає в місті Чернігові, судимість відсутня, самовисування.","Самовисування","","","06.08.2012","","208"
"БойправБорис Степанович","народився 10 сiчня 1961 року в селі Сорокошичі  Козелецького району  Чернігівської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, фізична особа – підприємець, безпартійний, проживає в місті Чернігові, судимість відсутня, самовисування.","Самовисування","","","06.08.2012","","208"
"ГолицяМихайло Миколайович","народився 29 грудня 1951 року в селі Плиски Борзнянського району Чернігівської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, радник голови правління – президента, ПАТ ""Холдингова компанія ""Київміськбуд"", безпартійний, проживає в місті Києві, судимість відсутня, самовисування.","Самовисування","","","06.08.2012","","208"
"ДанькоГригорій Володимирович","народився 25 жовтня 1956 року в місті Бахмач Чернігівської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, завідувач кафедри спортивних єдиноборств та силових видів спорту, Національний університет фізичного виховання і спорту України, безпартійний, проживає в місті Києві, судимість відсутня, самовисування.","Самовисування","","","03.08.2012","","208"
"ДзюбанЮрій Володимирович","народився 9 травня 1956 року в селі Українське Талалаївського району Чернігівської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, голова Талалаївської районної ради, безпартійний, проживає в смт Талалаївка Чернігівської області, судимість відсутня, суб’єкт висування – Соціалістична партія України.","Соціалістична партія України","","","17.08.2012","","208"
"ДмитренкоСвітлана Олександрівна","народилася 26 липня 1963 року в селі Ядути Борзнянського району Чернігівської області, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, лікар, Ядутинська сільська лікарська амбулаторія, член Української Народної Партії, проживає в селі Степанівка Борзнянського району Чернігівської області, судимість відсутня, суб’єкт висування – Українська Народна Партія.","Українська Народна Партія","","","13.08.2012","","208"
"ЛяшкоОлег Валерійович","народився 3 грудня 1972 року в місті Чернігові, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, народний депутат України, член Радикальної Партії Олега Ляшка, проживає в місті Києві, судимість відсутня, суб’єкт висування – Радикальна Партія Олега Ляшка.","Радикальна Партія Олега Ляшка","","","16.08.2012","","208"
"МихноСергій Анатолійович","народився 3 вересня 1966 року в смт Талалаївка Чернігівської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, юрисконсульт, ТОВ ""Агрофірма ""Обрій LTD"", член Комуністичної партії України, проживає в смт Талалаївка Чернігівської області, судимість відсутня, суб’єкт висування – Комуністична партія України.","Комуністична партія України","","","03.08.2012","","208"
"НеволькоВячеслав Анатолійович","народився 26 березня 1965 року в селі Пальчики Бахмацького району Чернігівської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, директор, ТОВ ""Інвестиційна компанія нерухомості ""Хрещатик"", член політичної партії Всеукраїнське об'єднання ""Батьківщина"", проживає в місті Києві, судимість відсутня, суб’єкт висування – політична партія Всеукраїнське об'єднання ""Батьківщина"".","політична партія Всеукраїнське об’єднання ""Батьківщина""","","","08.08.2012","","208"
"НовіковаНаталія Михайлівна","народилася 26 вересня 1971 року в місті Бахмач Чернігівської області, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, фізична особа – підприємець, член Політичної партії ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка"", проживає в місті Бахмач Чернігівської області, судимість відсутня, суб’єкт висування – Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка"".","Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка""","","","09.08.2012","15.10.2012звернення партії про скасування реєстрації","208"
"ПаньковОлександр Юрійович","народився 16 вересня 1972 року в селі Баляга Читинської області, Росія, громадянин України, протягом останніх п’яти років проживає на території України, освіта незакінчена вища, директор, ТОВ ""КФ СВАРОГ"", член ПОЛІТИЧНОЇ ПАРТІЇ ""УКРАЇНА МАЙБУТНЬОГО"", проживає в місті Чернігові, судимість відсутня, суб’єкт висування – ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНА МАЙБУТНЬОГО"".","ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНА МАЙБУТНЬОГО""","","","13.08.2012","","208"
"ПухкалОлександр Григорович","народився 15 жовтня 1948 року в селі Пальчики Бахмацького району Чернігівської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, професор кафедри політичної аналітики та прогнозування, Національна академія державного управління при Президентові України, безпартійний, проживає в місті Києві, судимість відсутня, суб’єкт висування – Партія Наталії Королевської – ""Україна – Вперед!"".","Партія Наталії Королевської ""Україна – Вперед!""","","","11.08.2012","","208"
"СекелаРуслан Михайлович","народився 6 грудня 1975 року в місті Львові, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, фізична особа – підприємець, безпартійний, проживає в місті Львові, судимість відсутня, самовисування.","Самовисування","","","06.08.2012","","208"
"ТандураВолодимир Миколайович","народився 25 липня 1951 року в селі Журавка Варвинського району Чернігівської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, ректор, Чернігівський обласний інститут післядипломної педагогічної освіти імені К.Д. Ушинського, член Партії регіонів, проживає в місті Чернігові, судимість відсутня, суб’єкт висування – Партія регіонів.","Партія регіонів","","","07.08.2012","12.10.2012звернення із заявою про відмову балотуватися","208"
"ХодосЛюдмила Вікторівна","народилася 1 листопада 1969 року в селі Бишів Макарівського району Київської області, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, начальник юридичного відділу, Банкнотно-монетний двір Національного банку України, безпартійнa, проживає в місті Києві, судимість відсутня, самовисування.","Самовисування","","","03.08.2012","","208"
"БезпалийОлександр Вікторович","народився 30 вересня 1975 року в місті Ніжин Чернігівської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта середня спеціальна, приватний підприємець, безпартійний, проживає в місті Ніжин Чернігівської області, судимість відсутня, суб’єкт висування – Радикальна Партія Олега Ляшка.","Радикальна Партія Олега Ляшка","","","16.08.2012","","209"
"БілоусенкоМаксим Валерійович","народився 30 листопада 1988 року в місті Ніжин Чернігівської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, редактор, Ніжинська міська газета ""Вісті"", безпартійний, проживає в місті Ніжин Чернігівської області, судимість відсутня, самовисування.","Самовисування","","","11.08.2012","","209"
"БойкоМикола Іванович","народився 21 листопада 1963 року в селі Дащенки Варвинського району Чернігівської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, голова правління, ЗАТ ""Прогрес"", член Соціалістичної партії України, проживає в смт Варва Чернігівської області, судимість відсутня, суб’єкт висування – Соціалістична партія України.","Соціалістична партія України","","","17.08.2012","12.10.2012звернення із заявою про відмову балотуватися","209"
"БоровикВалерій Анатолійович","народився 12 червня 1972 року в місті Прилуки Чернігівської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, керівник проекту, ТОВ ""Енергетичні Інвестиції"", безпартійний, проживає в місті Чернігові, судимість відсутня, суб’єкт висування – політична партія Всеукраїнське об’єднання ""Свобода"".","політична партія Всеукраїнське об’єднання ""Свобода""","","","10.08.2012","","209"
"ГерасименкоВасиль Петрович","народився 17 липня 1952 року в селі Липів-Ріг Ніжинського району Чернігівської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, директор, Ніжинська загальноосвітня школа № 9, член Комуністичної партії України, проживає в місті Ніжин Чернігівської області, судимість відсутня, суб’єкт висування – Комуністична партія України.","Комуністична партія України","","","03.08.2012","","209"
"КубракВіталій Михайлович","народився 30 липня 1961 року в селі Бакаївка Ічнянського району Чернігівської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, головний інженер, ТОВ ""Творець"", член Політичної партії ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка"", проживає в місті Ніжин Чернігівської області, судимість відсутня, суб’єкт висування – Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка"".","Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка""","","","09.08.2012","","209"
"КудлайПавло Віталійович","народився 22 грудня 1963 року в місті Ніжин Чернігівської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, директор, Ніжинська КДЮСШ СТ ""Спартак"", безпартійний, проживає в місті Ніжин Чернігівської області, судимість відсутня, самовисування.","Самовисування","","","11.08.2012","11.10.2012звернення із заявою про відмову балотуватися","209"
"КульбакоВіктор Дмитрович","народився 19 квiтня 1961 року в селі Сморшки Козелецького району Чернігівської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, начальник Головного управління ветеринарної медицини в Чернігівській області, член Партії регіонів, проживає в місті Чернігові, судимість відсутня, суб’єкт висування – Партія регіонів.","Партія регіонів","","","07.08.2012","04.09.2012звернення із заявою про відмову балотуватися","209"
"КуровськийІван Іванович","народився 28 червня 1951 року в селі Скаржинці Хмельницького району Вінницької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, народний депутат України, безпартійний, проживає в місті Києві, судимість відсутня, самовисування.","Самовисування","","","03.08.2012","","209"
"ЛабузькийПетро Михайлович","народився 30 червня 1955 року в селі Томашівка Ічнянського району Чернігівської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, директор, ТОВ ""Бобровицький хлібозавод"", безпартійний, проживає в селі Перебудова Ніжинського району Чернігівської області, судимість відсутня, самовисування.","Самовисування","","","16.08.2012","11.10.2012звернення із заявою про відмову балотуватися","209"
"ЛозянФедір Миколайович","народився 18 лютого 1973 року в селі Вертіївка Ніжинського району Чернігівської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, голова правління, благодійний фонд ""Підтримки та розвитку місцевих громад"", безпартійний, проживає в селі Вертіївка Ніжинського району Чернігівської області, судимість відсутня, самовисування.","Самовисування","","","14.08.2012","","209"
"МарченкоВалерій Анатолійович","народився 31 липня 1973 року в місті Носівка Чернігівської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, перший заступник генерального директора, ТОВ ""Земля і Воля"", безпартійний, проживає в місті Ніжин Чернігівської області, судимість відсутня, самовисування.","Самовисування","","","03.08.2012","","209"
"МорозенкоЛідія Дмитрівна","народилася 17 березня 1968 року в селі Велика Дорога Ніжинського району Чернігівської області, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, директор, ПП ""Ніжин Автотранс"", безпартійнa, проживає в місті Ніжин Чернігівської області, судимість відсутня, самовисування.","Самовисування","","","11.08.2012","","209"
"НіженецьЛеонід Васильович","народився 5 лютого 1959 року в місті Кролевець Сумської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, директор, Чернігівська філія страхової компанії ""Добробут"", безпартійний, проживає в місті Ніжин Чернігівської області, судимість відсутня, самовисування.","Самовисування","","","06.08.2012","","209"
"ПолудаМикола Миколайович","народився 12 грудня 1968 року в селі Велика Дорога Ніжинського району Чернігівської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта середня, генеральний директор, ТОВ ""АПК ""МАГНАТ"", член Партії регіонів, проживає в місті Ніжин Чернігівської області, судимість відсутня, самовисування.","Самовисування","","","06.08.2012","","209"
"ПучкаІгор Вячеславович","народився 15 жовтня 1972 року в місті Ніжин Чернігівської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта середня спеціальна, приватний підприємець, член Народної Партії, проживає в місті Ніжин Чернігівської області, судимість відсутня, суб’єкт висування – Народна Партія.","Народна Партія","","","03.08.2012","","209"
"ТримполЯрослав Миколайович","народився 28 квiтня 1985 року в місті Ніжин Чернігівської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, фізична особа – підприємець, безпартійний, проживає в місті Києві, судимість відсутня, самовисування.","Самовисування","","","11.08.2012","11.10.2012звернення із заявою про відмову балотуватися","209"
"ХарченкоОлександр Володимирович","народився 12 жовтня 1980 року в місті Чернігові, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, адвокат, безпартійний, проживає в місті Ніжин Чернігівської області, судимість відсутня, самовисування.","Самовисування","","","14.08.2012","","209"
"ГабелевСтаніслав Борисович","народився 6 липня 1986 року в місті Чернігові, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, директор, ТОВ ""Фірма ""СТБ"", безпартійний, проживає в місті Чернігові, судимість відсутня, самовисування.","Самовисування","","","14.08.2012","","210"
"ГаличАнатолій Іванович","народився 7 березня 1952 року в селі Іржавець Ічнянського району Чернігівської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, голова, Прилуцький міськрайонний суд, безпартійний, проживає в місті Прилуки Чернігівської області, судимість відсутня, самовисування.","Самовисування","","","06.08.2012","","210"
"КоротяВікторія Вікторівна","народилася 3 березня 1970 року в місті Прилуки Чернігівської області, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, голова Прилуцької міськрайонної організації профспілки працівників агропромислового комплексу України, член Комуністичної партії України, проживає в місті Прилуки Чернігівської області, судимість відсутня, суб’єкт висування – Комуністична партія України.","Комуністична партія України","","","03.08.2012","","210"
"КостюкОльга Іванівна","народилася 12 березня 1957 року в селі Ново-Софіївка Богодухівського району Харківської області, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, директор, ТОВ ""Пасаж-2"", член політичної партії Конгрес Українських Націоналістів, проживає в місті Прилуки Чернігівської області, судимість відсутня, суб’єкт висування – політична партія Конгрес Українських Націоналістів.","політична партія Конгрес Українських Націоналістів","","","14.08.2012","","210"
"КудряченкоВіктор Володимирович","народився 13 червня 1962 року в місті Києві, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, генеральний директор, НДП УАН ""Інститут автоматизованих систем"", безпартійний, проживає в місті Бровари Київської області, судимість відсутня, самовисування.","Самовисування","","","06.08.2012","","210"
"КурганІгор Миколайович","народився 28 березня 1967 року в місті Прилуки Чернігівської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, директор, ТОВ ""Перша міжнародна будівельна компанія"", безпартійний, проживає в місті Прилуки Чернігівської області, судимість відсутня, суб’єкт висування – Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка"".","Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка""","","","09.08.2012","15.10.2012звернення із заявою про відмову балотуватися","210"
"ЛабазовВіктор Станіславович","народився 13 липня 1960 року в місті Прилуки Чернігівської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, редактор, газета ""Світанок над Сіверщиною"", безпартійний, проживає в місті Прилуки Чернігівської області, судимість відсутня, суб’єкт висування – політична партія Всеукраїнське об'єднання ""Батьківщина"".","політична партія Всеукраїнське об’єднання ""Батьківщина""","","","08.08.2012","","210"
"МухаВолодимир Анатолійович","народився 9 серпня 1966 року в селі Маньківка Маньківського району Черкаської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, начальник територіального управління Міністерства надзвичайних ситуацій України в Чернігівській області, член Партії регіонів, проживає в смт Козин Обухівського району Київської області, судимість відсутня, суб’єкт висування – Партія регіонів.","Партія регіонів","","","07.08.2012","","210"
"НестерукВасиль Сергійович","народився 6 вересня 1955 року в селі Миколаївка Ємільчинського району Житомирської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, перший заступник генерального директора, ТОВ ""Земля і Воля"", безпартійний, проживає в місті Бобровиця Чернігівської області, судимість відсутня, самовисування.","Самовисування","","","06.08.2012","","210"
"ПоліщукВолодимир Андрійович","народився 22 грудня 1977 року в місті Жашків Черкаської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, менеджер відділу маркетингу, СП ""Марком"", безпартійний, проживає в місті Києві, судимість відсутня, самовисування.","Самовисування","","","14.08.2012","","210"
"РудьковськийМикола Миколайович","народився 18 грудня 1967 року в селі Старий Биків Бобровицького району Чернігівської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, тимчасово не працює, член Політичної партії ""Партія нового покоління України"", проживає в місті Чернігові, судимість відсутня, самовисування.","Самовисування","","","03.08.2012","","210"
"ТроценкоТетяна Миколаївна","народилася 14 сiчня 1955 року в селі Жуляни Києво-Святошинського району Київської області, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, директор, ДП ""Пластмас"" ТОВ ""Торговий дім Пластмас-Прилуки"", член Соціалістичної партії України, проживає в місті Прилуки Чернігівської області, судимість відсутня, суб’єкт висування – Соціалістична партія України.","Соціалістична партія України","","","17.08.2012","","210"
