"id","deputat","tvo","winner","factions_text","party_name","anketa_data","proposed","prediction_150","year","convocation","previous","ever","anketa_url","fraction"
18079,"Давиденко Валерій Миколайович",208,1,NA,"Безпартійний","народився 16 березня 1973 року в місті Носівка Чернігівської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, радник дирекції з розвитку перспективних програм, ЗАТ ""Інститут інноваційного провайдингу Української академії аграрних наук"", безпартійний, проживає в місті Носівка Чернігівської області, судимість відсутня, суб’єкт висування – ПОЛІТИЧНА ПАРТІЯ ""ВСЕУКРАЇНСЬКЕ АГРАРНЕ ОБ’ЄДНАННЯ ""ЗАСТУП"".","самовисування",0.855277597904205,2019,8,TRUE,TRUE,"http://itd.rada.gov.ua/mps/info/page/18079","Член депутатської фракції ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА"""
15309,"Кодола Олександр Михайлович",209,1,NA,"Політична партія ""НАРОДНИЙ ФРОНТ""","народився 17 лютого 1982 року в місті Чернігові, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, перший заступник голови, Чернігівська обласна рада, член Політичної партії ""НАРОДНИЙ ФРОНТ"", проживає в місті Чернігові, судимість відсутня, суб’єкт висування – Політична партія ""НАРОДНИЙ ФРОНТ"".","самовисування",0.874024271965027,2019,8,TRUE,TRUE,"http://itd.rada.gov.ua/mps/info/page/15309","Член депутатської фракції Політичної партії ""НАРОДНИЙ ФРОНТ"""
18084,"Дмитренко Олег Миколайович",210,1,NA,"Безпартійний","народився 17 жовтня 1973 року в селищі Варва Чернігівської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, директор, ТОВ ""Батьківщина"", безпартійний, проживає в місті Чернігові, судимість відсутня, суб’єкт висування – ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА"".","самовисування",0.855277597904205,2019,8,TRUE,TRUE,"http://itd.rada.gov.ua/mps/info/page/18084","Член депутатської фракції ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА"""
NA,"Коровченко Сергій Володимирович",210,0,NA,NA,NA,"самовисування",0.0999263748526573,2019,NA,FALSE,FALSE,NA,NA
18138,"Сташук Віталій Филимонович",212,1,NA,"Політична партія ""НАРОДНИЙ ФРОНТ""","народився 15 жовтня 1972 року в місті Києві, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, голова, благодійна організація ""Фонд підтримки муніципальних ініціатив"", член Політичної партії ""НАРОДНИЙ ФРОНТ"", проживає в місті Києві, судимість відсутня, суб’єкт висування – Політична партія ""НАРОДНИЙ ФРОНТ"".","самовисування",0.770841717720032,2019,8,TRUE,TRUE,"http://itd.rada.gov.ua/mps/info/page/18138","Член депутатської фракції Політичної партії ""НАРОДНИЙ ФРОНТ"""
18064,"Береза Борислав Юхимович",213,0,NA,"Безпартійний","народився 13 червня 1974 року в місті Києві, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, тимчасово не працює, безпартійний, проживає в місті Києві, судимість відсутня, самовисування.","самовисування",0.703883528709412,2019,8,TRUE,TRUE,"http://itd.rada.gov.ua/mps/info/page/18064",NA
11097,"Супруненко Олександр Іванович",216,1,NA,"Безпартійний","народився 31 сiчня 1971 року в місті Києві, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, директор, ТОВ ""Юридична фірма ""Правозахисник"", безпартійний, проживає в місті Києві, судимість відсутня, самовисування.","самовисування",0.770841717720032,2019,8,TRUE,TRUE,"http://itd.rada.gov.ua/mps/info/page/11097","Член депутатської групи ""Воля народу"""
5504,"Третьяков Олександр Юрійович",219,1,NA,"Безпартійний","народився 20 березня 1970 року в місті Києві, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, віце-президент, громадська організація ""Інститут конкурентного суспільства"", безпартійний, проживає в місті Києві, судимість відсутня, суб’єкт висування – ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА"".","самовисування",0.770841717720032,2019,8,TRUE,TRUE,"http://itd.rada.gov.ua/mps/info/page/5504","Заступник голови депутатської фракції ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА"""
17977,"Лещенко Сергій Анатолійович",220,1,NA,"Безпартійний","народився 30 серпня 1980 року, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, заступник головного редактора – спеціальний кореспондент, ПП ""Українська правда"", безпартійний, проживає в місті Києві, судимість відсутня, включений до виборчого списку під № 19.","самовисування",0.707956552505493,2019,8,TRUE,TRUE,"http://itd.rada.gov.ua/mps/info/page/17977",NA
15839,"Андрієвський Дмитро Йосипович",222,1,NA,"Безпартійний","народився 6 сiчня 1967 року в селі Ольга Ольгинського району Приморського краю, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, народний депутат України, безпартійний, проживає в місті Києві, судимість відсутня, суб’єкт висування – ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА"".","самовисування",0.765960454940796,2019,8,TRUE,TRUE,"http://itd.rada.gov.ua/mps/info/page/15839","Член депутатської фракції ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА"""
