deputat,tvo,winner,likelihood,proposed,fraction,age,gender,spread,proposed_full
Яцков Борис Олександрович,189,NA,0.138387508745582,самовисування,"Член депутатської групи ""Партія ""Відродження""",53,M,0,самовисування
Буханевич Олександр Миколайович,189,NA,0.0597867442182566,самовисування,NA,42,M,-0.0786007645273255,самовисування
Мацола Роман Миколайович,190,NA,0.872682623651845,самовисування,партії блок петра порошенка,45,M,0.797490457992542,самовисування
Жмеренецький Олексій Сергійович,190,NA,0.0751921656593032,СН,NA,33,M,0,політична партія слуга народу
Щербина Андрій Ігорович,190,NA,0.0188016699597595,самовисування,NA,39,M,-0.0563904956995437,самовисування
Бондар Віктор Васильович,191,NA,0.908995278436772,самовисування,партія відродження,44,M,0.87824963224413,самовисування
Потапова Марина Валеріївна,191,NA,0.0307456461926424,СН,NA,45,F,0,політична партія слуга народу
Бойко Михайло Дмитрович,191,NA,0.0232133251949999,самовисування,NA,50,M,-0.00753232099764248,самовисування
Герега Олександр Володимирович,192,NA,0.912547998176244,самовисування,"Член депутатської групи ""Партія ""Відродження""",52,M,0.869160549665472,самовисування
Гуменюк Василь Васильович,192,NA,0.0433874485107721,СН,NA,30,M,0,політична партія слуга народу
Коваль Сергій Володимирович,192,NA,0.0178093936288805,самовисування,NA,40,M,-0.0255780548818916,самовисування
Мельниченко Володимир Володимирович,193,NA,0.875438180036396,самовисування,партії блок петра порошенка,54,M,0.816614107566904,самовисування
Посітко Михайло Володимирович,193,NA,0.0588240724694917,Свобода,NA,34,M,0,політична партія всеукраїнське обєднання свобода
Сморжевський Станіслав Броніславович,193,NA,0.02763746103017,самовисування,NA,49,M,-0.0311866114393217,самовисування
Шпак Любов Олександрівна,194,NA,0.830835523833162,СН,NA,39,F,0.781596030330158,політична партія слуга народу
Рибченко Олександр Володимирович,194,NA,0.0492394935030039,самовисування,NA,57,M,0,самовисування
Рубан Сергій Леонідович,194,NA,0.0470202471911542,ЄС,NA,32,M,-0.00221924631184966,політична партія європейська солідарність
Арсенюк Олег Олексійович,195,NA,0.689543174030141,СН,NA,33,M,0.489355718683748,політична партія слуга народу
Квітка Віктор Володимирович,195,NA,0.200187455346393,самовисування,NA,53,M,0,самовисування
Пошиваник Микола Михайлович,195,NA,0.0458131906509646,самовисування,NA,46,M,-0.154374264695428,самовисування
Бобов Геннадій Борисович,196,NA,0.773534031272132,самовисування,партія відродження,54,M,0.580962492063106,самовисування
Стріхарський Андрій Петрович,196,NA,0.192571539209026,СН,NA,38,M,0,політична партія слуга народу
Коваль Сергій Валентинович,196,NA,0.0134331901922531,Other,NA,52,M,-0.179138349016773,політична партія народний рух україни
Голуб Владислав Володимирович,197,NA,0.729187736117505,самовисування,"Член депутатської групи ""Партія ""Відродження""",36,M,0.48341167291447,самовисування
Скічко Олександр Олександрович,197,NA,0.245776063203035,СН,NA,28,M,0,політична партія слуга народу
Доманський Володимир Миколайович,197,NA,0.0103211104258471,самовисування,NA,46,M,-0.235454952777188,самовисування
Рудик Сергій Ярославович,198,NA,0.823220161306951,самовисування,партії блок петра порошенка,49,M,0.736432916258896,самовисування
Супрун Людмила Павлівна,198,NA,0.0867872450480556,самовисування,NA,54,F,0,самовисування
Кармазін Юрій Анатолійович,198,NA,0.0398582322717338,самовисування,NA,62,M,-0.0469290127763218,самовисування
Ничипоренко Валентин Миколайович,199,NA,0.500343244027014,самовисування,"Член депутатської групи ""Партія ""Відродження""",58,M,0.102638175329274,самовисування
Заліщук Світлана Петрівна,199,NA,0.39770506869774,самовисування,"Член депутатської групи ""Воля народу""",37,F,0,самовисування
Нагорняк Сергій Володимирович,199,NA,0.0524318994790863,СН,NA,37,M,-0.345273169218653,політична партія слуга народу
Яценко Антон Володимирович,200,NA,0.83097129435399,самовисування,партія відродження,42,M,0.738547435581581,самовисування
Воронцова Олена Володимирівна,200,NA,0.0924238587724089,СН,NA,38,F,0,політична партія слуга народу
